"""%1"" cannot contain more than %2 lines.","""%1"" ne peut pas contenir plus de %2 lignes."
"""%1"" contains non-alphabetic characters.","""%1"" contient des caractères non alphabétiques."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contient des caractères non alphabétiques ou non numériques."
"""%1"" contains non-numeric characters.","""%1"" contient des caractères non numériques."
"""%1"" coupon code is not valid.","Le bon de réduction ""%1"" n’est pas valide."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Le bon de réduction ""%1"" n’a pas été appliqué. Ne pas appliquer la réduction sur les articles sélectionnés"
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date saisi."
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maximale autorisée pour les fichiers."
"""%1"" exceeds the allowed length.","""%1"" excède la longueur maximale autorisée."
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px."
"""%1"" invalid type entered.","""%1"" type de saisie invalide."
"""%1"" is an empty string.","""%1"" est une chaîne vide."
"""%1"" is a required value.","""%1"" est une valeur requise."
"""%1"" is not a valid URL.","""%1"" n’est pas une URL valide."
"""%1"" is not a valid date.","""%1"" n’est pas une date valide."
"""%1"" is not a valid email address.","%1 n’est pas une adresse email valide."
"""%1"" is not a valid file","""%1"" n’est pas un fichier valide"
"""%1"" is not a valid file.","""%1"" n’est pas un fichier valide."
"""%1"" is not a valid file extension.","""%1"" n’est pas une extension de fichier valide."
"""%1"" is not a valid hostname.","""%1"" n’est pas un nom d’hôte valide."
"""%1"" is not a valid image format","""%1"" n’est pas un format d’image valide"
"""%1"" is not a valid image format.","""%1"" n’est pas un format d’image valide."
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères."
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères."
"""%1"" section source is not supported","""%1"" source de la section n’est pas pris en charge"
"""%1"" uses too many characters.","""%1"" utilise trop de caractères."
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px."
"""Email"" is not a valid email address.","""Email"" n’est pas une adresse email valide."
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","Besoin d’un compte New Relic ? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Cliquez ici pour en obtenir une</a>"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Par commande"" correspond aux frais de traitement pour l’ensemble de la commande. ""Par colis"" correspond aux frais de traitement pour chaque colis."
"""Remember Me"" Default Value","Valeur par défaut du ""Se souvenir de moi"""
"""file"" parameter must be specified","le paramètre ""file"" doit être renseigné"
"""file"" parameter must be specified and must not be empty","Le paramètre ""file"" doit être renseigné et ne peut pas être vide"
"# of Items (and above)","Nombre d’articles (et au-delà)"
"# of Items vs. Destination","Nombre d’articles par destination"
"${ $.visible } out of ${ $.total } visible","${ $.visible } sur ${ $.total } visible(s)"
%1,%1
"%1 %2","%1 %2"
"%1 (Default)","%1 (Défaut)"
"%1 - %2","%1 - %2"
"%1 - Discounts and Coupons","%1 - remises et coupons"
"%1 - Special Products","%1 - produits en promotion"
"%1 / %2 rate:","Taux %1 / %2 :"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"%1 An empty value is allowed as well.","%1 Une valeur vide est autorisée."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l’attribut ""%2"" a été désactivée."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l’attribut ""%2"" a été désactivée."
"%1 Item","%1 article"
"%1 Item(s)","%1 article(s)"
"%1 Items","%1 articles"
"%1 RSS Feed","%1 flux RSS"
"%1 Review(s)","%1 avis"
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l’attribut ""%2"" a été désactivée."
"%1 already exist.","%1 existe déjà."
"%1 already exists.","%1 existent déjà."
"%1 and above","%1 et plus"
"%1 and greater","%1 et plus"
"%1 cache type(s) disabled.","%1 type(s) de cache désactivé(s)."
"%1 cache type(s) enabled.","%1 type(s) de cache activé(s)."
"%1 cache type(s) refreshed.","%1 type(s) de cache actualisé(s)."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","La classe %1 n'implémente pas \Magento\Payment\Model\MethodInterface"
"%1 class doesn\'t implement \Magento\Payment\Model\MethodInterface","La classe %1 n\'implémente pas \Magento\Payment\Model\MethodInterface"
"%1 coupon(s) have been generated.","%1 coupon(s) généré(s)."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 n'étend pas \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 n'étend pas \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 n'étend pas \Magento\Checkout\CustomerData\ItemInterface"
