"\","%"
"\\\\ ","% "
"All ","Tous "
"Another non-translated value for Magento_Catalog","Une autre valeur non traduite pour Magento_Catalog"
"Backup options","Options de sauvegarde"
"Cancel","Annuler"
"Close","Fermer"
"Design value to translate","Valeur à traduire"
"Insert Widget...","Insérer un widget..."
"Lib js","Lib js"
"Lib js unused","Lib js non utilisé"
"Loading...","Chargement en cours..."
"Maximum length of this field must be equal or less than %1 symbols.","La longueur maximale de ce champ doit être inférieure ou égale à %1 caractères."
"Method ","Méthode "
"Method %s does not exist on jQuery.decorate","La méthode %s n'existe pas définie dans jQuery.decorate"
"Module js","Module js"
"more","plus"
"No records found.","Aucun élément trouvé."
"Original value for Magento_Store module","Valeur originale pour le module Magento_Store"
"Phrase 1","Phrase 1"
"Phrase 2 %1","Phrase 2 %1"
"Please enter a date between %min and %max.","Veuillez renseigner une date comprise entre %min et %max."
"Please enter a date from the past.","Veuillez renseigner une date antérieure."
"Please enter a date in the past.","Veuillez saisir une date dans le passé."
"Please enter a valid day (1-%1).","Veuillez renseigner un jour valide (1-%1)."
"Please enter a valid year (1900-%1).","Veuillez renseigner une année valide (1-%1)."
"Please enter a value greater than or equal to %s.","Veuillez renseigner une valeur supérieure ou égale à %s."
"Please enter a value less than or equal to %s.","Veuillez renseigner une valeur inférieure ou égale à %s."
"Please wait...","Veuillez patienter..."
"Recent items","Éléments récents"
"%s","%s"
"Save","Enregistrer"
"Show all...","Voir tout..."
"Some non-translated value for Magento_Catalog","Certaines valeurs non traduites pour Magento_Catalog"
"%s - %s","%s - %s"
"Submit","Envoyer"
"Text with different translation on different modules","Texte avec traduction différente sur les différents modules"
"This is a required field.","Ce champ est obligatoire."
"Translate","Traduire"
"translation to the same value","traduction de la même valeur"
"Upload server currently unavailable - ","Upload serveur actuellement indisponible - "
"Warning","Attention"
