"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 n'implemente pas l'interface MagentoPaymentModelMethodInterface"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 n'étend pas \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 n'étend pas \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 n'étend pas \Magento\Checkout\CustomerData\ItemInterface"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 n'étend pas MagentoCustomerCustomerDataSectionSourceInterface"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 n'étend pas MagentoFrameworkFilterTemplate"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 n'étend pas MagentoCatalogModelLayerFilterAbstractFilter"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 n'étend pas MagentoCatalogModelProductOptionTypeDefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 n'étend pas MagentoCatalogModelProductTypeAbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 n'étend pas MagentoCatalogModelProductTypePrice"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 n'étend pas MagentoFrameworkModelAbstractModel"
"'%1' file extension is not supported","'%1' extension de fichier non supportée"
"%1's Wish List","Liste d'envies de %1"
"An attribute set named '%1' already exists.","Le jeu d'attributs ""%1"" existe déjà."
"Are you sure you want to delete this integration? You can't undo this action.","Êtes-vous sûr(e) de vouloir supprimer cette intégration ? Vous ne pouvez pas annuler cette action."
"Attribute %1 doesn't have any option","L'attribut %1 ne possède aucune option"
"Attribute %1 doesn't work with options","L'attribut %1 ne fonctionne pas avec des options"
"Attribute '%1' is locked. %2","Attribut '%1' est verrouillé. %2"
"Cannot perform GET operation with store code 'all'","Impossible d'effectuer l'opération GET avec le code boutique 'all'"
"Cannot save comment:
%1","Impossible de sauvegarder le commentaire :
%1"
"Cannot save track:
%1","Impossible de sauvegarder le numéro de suivi :
%1"
"Cart %1 doesn't contain item  %2","Le panier %1 ne contient pas l'article %2"
"Cart %1 doesn't contain products","Le panier #%1 ne contient aucun produit"
"Could not add gift message to order's item: ""%1""","Impossible d'ajouter un message cadeau pour l'article ""%1"""
"Entity type model '%1' is not found","Le modèle du type d'entité '%1' est introuvable"
"Exception does not contain field '%1'","L'exception ne contient pas le champ ""%1"""
"File '%1' is not an image.","Le fichier '%1' n'est pas une image."
"File '%1' was not found or has read restriction.","Le fichier '%1' n'as pas été trouvé ou n'est pas lisible."
"File directory '%1' is not readable.","Le répertoire '%1' n'est pas autorisé en lecture."
"File directory '%1' is not writable.","Le répertoire '%1' n'est pas autorisé en écriture."
