"""%1"" is not a valid file","""%1"" n'est pas un fichier valide",custom,imaginaerum
"--Please select--","--Veuillez choisir--",custom,imaginaerum
"%1 RSS Feed","%1 Flux RSS",custom,imaginaerum
"%","%",custom,imaginaerum
"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' est trop long. La valeur doit contenir moins de %min% caractères.",custom,imaginaerum
"%s - %s","%s - %s",custom,imaginaerum
"%s","%s",custom,imaginaerum
"(ver. %1)","(ver. %1)",custom,imaginaerum
"1 item in wish list","1 article dans la liste d'envies",custom,imaginaerum
"255 by default","255 par défaut",custom,imaginaerum
"Access Denied","Accès refusé",custom,imaginaerum
"Active From","Actif Depuis",custom,imaginaerum
"Active To","Actif Jusque",custom,imaginaerum
"Add New Widget Instance","Ajouter une nouvelle instance de Widget",custom,imaginaerum
"Add Products By SKU","Ajhouter des Produits par SKU",custom,imaginaerum
"Add to Wishlist","Ajouter à la liste d'envies",custom,imaginaerum
"Additional Information","Informations Additionnelles",custom,imaginaerum
"Address %1 of %2","Adresse %1 sur %2",custom,imaginaerum
"Advanced Pricing","Gestion avancée des Prix",custom,imaginaerum
"All Customers","Tous les Clients",custom,imaginaerum
"All Stores","Tous les Magasins",custom,imaginaerum
"All Users","Tous les utilisateurs",custom,imaginaerum
"Allow Gift Message","Autoriser les Messages Cadeau",custom,imaginaerum
"An error occurred while deleting the address.","Une erreur s'est produite lors de la suppression de l'adresse",custom,imaginaerum
"Apply Coupon","Appliquer le bon de réduction",custom,imaginaerum
"Attribute","Attribut",custom,imaginaerum
"Authorize.net","Authorize.net",custom,imaginaerum
"Autogenerate","Généré automatiquement",custom,imaginaerum
"B","B",custom,imaginaerum
"Base Image","Image de Base",custom,imaginaerum
"Bestseller","Meilleures Ventes",custom,imaginaerum
"Buy %1 for %2","Achetez en %1 pour %2",custom,imaginaerum
"By Customers","Par Client",custom,imaginaerum
"By Products","Par Produits",custom,imaginaerum
"Capture Amount","Capture du Montant",custom,imaginaerum
"Change Price","Changer le Prix",custom,imaginaerum
