"1 Hour","1 heure"
"2 Hours","2 heures"
"6 Hours","6 heures"
"12 Hours","12 heures"
"24 Hours","24 heures"
"Acknowledge","Accusé de réception"
"Actions","Actions"
"Are you sure?","Êtes-vous sûr(e) ?"
"A total of %1 record(s) have been marked as Read.","%1 message(s) marqué(s) comme lu(s)."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","Il n'est pas recommandé d'utiliser la variable {{base_url}} en production pour spécifier les URLs de base (sécurisée et non-sécurisée). Il est fortement recommandé de modifier cette valeur dans la <a href=""%1"">configuration</a> de Magento."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Il n'est pas recommandé d'utiliser la variable {{base_url}} en production pour spécifier les URLs de base (sécurisée et non-sécurisée). Il est fortement recommandé de modifier cette valeur dans la <a href=""%1"">configuration</a> de Magento."
"Cancel","Annuler"
"close","fermer"
"Close","Fermer"
"Close popup","Fermer la popup"
"critical","critique"
"Critical System Messages","Messages système critiques"
"Date Added","Date d'ajout"
"Incoming Message","Message reçu"
"Last Update","Dernière mise à jour"
"major","majeur"
"Major System Messages","Messages système majeurs"
"Mark as Read","Marquer comme lu"
"Message","Message"
"Messages Inbox","Boîte de réception"
"minor","mineur"
"notice","notice"
"Notification","Notification"
"Notifications","Notifications"
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Un ou plusieurs fichiers média n'ont pu être synchronisés. Veuillez vous reporter au fichier log pour plus de détails."
"One or more of the Cache Types are invalidated: %1. ","Un ou plusieurs types de cache sont invalides : %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Veuillez vous rendre dans la <a href=""%1"">Gestion du cache</a> et rafraîchir tous les types de cache."
"Please select messages.","Veuillez sélectionner des messages."
"Read details","Voir les détails"
"Read Details","Voir les détails"
"Remove","Supprimer"
"See All (%1 unread)","Voir Tout (%1 non lu(s))"
"See All (","Voir tout ("
"Severity","Sévérité"
"Synchronization of media storages has been completed.","Synchronisation du stockage des médias terminée."
"System Messages:","Messages système :"
"System messages","Messages système"
"The message has been marked as Read.","Le message a été marqué comme lu."
"The message has been removed.","Le message a bien été supprimé."
"Total of %1 record(s) have been removed.","%1 enregistrement(s) supprimé(s)."
" unread)"," non lu)"
"Update Frequency","Fréquence de mise à jour"
"Use HTTPS to Get Feed","Utiliser HTTPS pour Récupérer le Flux"
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","Nous apprécions les retours client. Veuillez <a href=""#"" data-mage-init=""%1"">donner votre opinion</a> et nous faire connaitre les fonctionnalités que vous aimeriez voir dans Magento."
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue suite à une erreur."
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue suite à une erreur."
"We couldn't remove the messages because of an error.","Nous ne pouvons pas supprimer les messages suite à une erreur."
"We couldn't remove the messages because of an error.","Nous ne pouvons pas supprimer les messages suite à une erreur."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nous n'avons pas été en mesure de synchroniser un ou plusieurs fichiers médias. Veuillez consulter les logs pour obtenir plus de détails."
"Wrong message type","Mauvais type de message"
"Wrong notification ID specified.","Mauvais ID de notification spécifié."
"You have %1 new system message","Vous avez %1 nouveau message système"
"You have %1 new system messages","Vous avez %1 nouveaux messages système"
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Votre serveur web est mal configuré. Les fichiers de configuration comportant des informations sensibles sont accessibles de l'extérieur. Consultez votre hébergeur."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Votre serveur web n'est pas correctement configuré et permet l'accès à des fichiers sensibles. Veuillez corriger le problème rapidement ou contacter votre hébergeur."
