"Action","Action"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Toutes les données créées depuis que la sauvegarde a été réalisée seront perdues (dont les comptes administrateurs, les clients et les commandes)."
"Are you sure you want to continue?","Êtes-vous sûr(e) de vouloir continuer ?"
"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr(e) de vouloir effacer les sauvegardes sélectionnées ?"
"Are you sure you want to proceed?","Voulez-vous vraiment continuer ?"
"Backup","Sauvegarde"
"Backup Name","Nom de la sauvegarde"
"Backup options","Options de sauvegarde"
"Backups","Sauvegardes"
"Backup Type","Type de sauvegarde"
"Be sure your store is in maintenance mode during backup.","Soyez sûr que votre boutique est en mode de maintenance pendant la sauvegarde."
"Cancel","Annuler"
"Can't load snapshot archive","Vous ne pouvez pas charger les archives de Snapshot"
"Can\'t load snapshot archive","Vous ne pouvez pas charger les archives de Snapshot"
"Create Backup","Créer une sauvegarde"
"Database","Base de données"
"Database and Media","Base de données et médias"
"Database and Media Backup","Sauvegarde de la base de données et des médias"
"Database Backup","Sauvegarde de base de données"
"Delete","Supprimer"
"Download","Télécharger"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Exclude","Exclure"
"Exclude media folder from backup","Exclure le dossier média de la sauvegarde"
"failed","échec"
"Failed to rollback","Échec de la restauration"
"Failed to rollback.","Échec de la restauration."
"Failed to validate FTP","Echec de la validation FTP"
"Failed to validate FTP.","Echec de la validation FTP."
"Frequency","Fréquence"
"FTP","FTP"
"FTP credentials","Informations de connexion FTP"
"FTP Host","Hôte FTP"
"FTP Login","Login FTP"
"FTP Password","Mot de passe FTP"
"It will take time to create a backup.","La sauvegarde prendra un certain temps."
"Magento root directory","Répertoire racine de Magento"
"Maintenance mode","Mode maintenance"
"Maintenance Mode","Mode maintenance"
"Name","Nom"
"Not enough permissions to perform rollback.","Droits insuffisants pour exécuter la sauvegarde."
"OK","OK"
"Please correct the order of creation for a new backup.","Veuillez corriger l'ordre de la création lors d'une nouvelle sauvegarde."
"Please correct the password.","Veuillez corriger le mot de passe."
"Please enter a password.","Veuillez saisir un mot de passe."
"Please enter the password to confirm rollback.","Veuillez entrez le mot de passe pour confirmer la restauration."
"Please put your store into maintenance mode during backup.","Veuillez mettre la boutique en mode de maintenance lors de la sauvegarde."
"Please put your store into maintenance mode during rollback processing.","Veuillez mettre votre boutique en mode de maintenance pendant le processus de restauration."
"Please specify backup creation option.","Veuillez définir une option de sauvegarde."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des espaces dans ce champ."
"Please wait until the action ends.","Veuillez attendre que l'action se termine."
"Rollback","Restaurer"
"Scheduled Backup Settings","Paramètres de sauvegarde programmée"
"Size(bytes)","Taille (octets)"
"Something went wrong creating the backup.","Erreur lors de la création de la sauvegarde."
"Something went wrong putting your store into maintenance mode.","Une erreur s'est produite lors de la mise en maintenance de la boutique."
"Something went wrong while putting your store into maintenance mode.","Une erreur s'est produite lors de la mise en maintenance de la boutique."
"Something went wrong while writing to the backup file ""%1"".","Une erreur s'est produite lors de l'écriture du fichier de sauvegarde ""%1""."
"Something went wrong writing to the backup file ""%1"".","Une erreur s'est produite lors de l'annulation de l'écriture du fichier de sauvegarde ""%1""."
"Sorry, but we cannot read from or write to backup file ""%1"".","Désolé, mais nous ne pouvons pas lire ou écrire le fichier de sauvegarde ""%1""."
"Start Time","Heure de début"
"successful","succès"
"System","Système"
"System Backup","Sauvegarde système"
"System (excluding Media)","Système (sans les médias)"
