"%1 x %2","%1 x %2"
"Add Products to New Option","Ajouter les produits à la nouvelle option"
"Add Products to Option ""%1""","Ajouter les produits à l'option ""%1"""
"Add Products to Option","Ajouter des produits à l'option"
"Add Selected Products","Ajouter les produits sélectionnés"
"As low as","À partir de"
"As Low as","À partir de"
"Availability:","Disponibilité:"
"Availability","Disponibilité"
"Bundle Items","Articles packagés"
"Bundle product could not contain another composite product","Un produit packagé ne peut pas contenir un autre produit composite"
"Buy %1 with %2 discount each","Achetez-en %1 et profitez d'une remise de %2 par produit"
"Cancel","Annuler"
"Canceled","Annulée"
"Cannot delete option with id %1","Impossible de supprimer l'option ID %1"
"Can not find product link with id ""%1""","Impossible de trouver le produit à lier avec l'ID ""%1"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Le produit enfant avec le SKU ""%1"" est déjà assigné au produit ""%2"""
"Choose a selection...","Choisissez..."
"Close","Fermer"
"Could not save child: ""%1""","Impossible de sauvegarder l'enfant : ""%1"""
"Could not save option","Impossible de sauvegarder l'option"
"Create New Option","Créer une nouvelle option"
"Customize %1","Personnaliser %1"
"Customize and Add to Cart","Personnaliser et Ajouter au Panier"
"Default","Par défaut"
"Default Quantity","Quantité par défaut"
"Delete","Supprimer"
"Delete Option","Supprimer cette Option"
"Discount Amount","Montant de la Remise"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Excl. Tax:","HT:"
"Fixed","Fixé"
"From:","De:"
"From","De"
"Gift Message","Message Cadeau"
"Go back to product details","Retour aux détails du produit"
"ID","ID"
"Id field of product link is required","Le champ ID pour lier le produit est obligatoire"
"Incl. Tax","TTC"
"Incl. Tax:","TTC:"
"Input Type","Type de Saisie"
"In stock","En Stock"
"Invoiced","Facturé"
"Message:","Message:"
"N/A","N/A"
"Name","Nom"
"New Option","Nouvelle Option"
"None","aucun"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"Only implemented for bundle product","Uniquement implémenté pour les produits packagés"
"Option Title","Titre de l'Option"
"Ordered","Commandé"
"Out of stock","En rupture de stock"
"Percent","Pourcent"
"Percent Discount","Remise en pourcentage"
"Please enter search conditions to view products.","Veuillez entrer des conditions de recherche pour voir des produits."
"Please select all required options.","Veuillez sélectionner les options requires."
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"Position","Position"
"Price","Prix"
"Price Range","Tranche de prix"
"Price Type","Type de Prix"
"Product","produit"
"Product Name","Nom du produit"
"Product with specified sku: ""%1"" does not contain option: ""%2""","Le produit avec le SKU ""%1"" ne contient pas l'option ""%2"""
"Product with specified sku: %1 is not a bundle product","Le produit avec le SKU ""%1"" n'est pas un produit packagé"
"Product with specified sku: ""%1"" is not a bundle product","Le produit avec le SKU ""%1"" n'est pas un produit packagé"
"Qty","Qté"
"Qty:","Qté:"
"Qty Invoiced","Qté facturée"
"Qty Shipped","Qté livrée"
"Quantity:","Quantité:"
"Quantity","Quantité"
"Refunded","Remboursé"
"Regular Price","Prix Normal"
"Requested bundle option product doesn't exist","Les options du produit packagé n'existent pas"
"Requested option doesn't exist","L'option n'existe pas"
"Required","Requis"
"* Required Fields","* Champs requis"
"Row Total","Total Ligne"
"-- Select --","-- Choisir --"
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles packagés"
"Shipped","Livré"
"SKU","SKU"
"Store View Title","Titre de la vue magasin"
"Subtotal","Sous-Total"
"Summary","Résumé"
"The options you selected are not available.","Les options sélectionnés ne sont pas disponibles."
"There are no products in this option.","Il n'y a pas de produit pour cette option."
"There is no defined renderer for ""%1"" option type.","Il n'y a pas de générateur d'affichage pour le type d'option ""%1""."
"The required options you selected are not available.","Les options requises sélectionnées ne sont pas disponibles."
"To:","À:"
"To","À"
"Together","Ensemble"
"Total","Total"
"Total Incl. Tax","Total TTC"
"Total incl. tax","Total TTC"
"Use Default Value","Utiliser la valeur par défaut"
"User Defined","Défini par l'utilisateur"
"We can't add this item to your shopping cart right now.","Impossible d'ajouter ce produit au panier."
"What are you looking for?","Que recherchez-vous ?"
"Your Customization","Votre personnalisation"
