"After number of attempts to login","Après un nombre de tentatives de connexion"
"Always","Toujours"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le CAPTCHA est sensible à la casse."
"Attention: Captcha is case sensitive.","Attention : le CAPTCHA est sensible à la casse."
"CAPTCHA","CAPTCHA"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Le CAPTCHA sera toujours activé sur les formulaires ""Créer un utilisateur"" et ""Mot de passe perdu"" s'il est activé."
"CAPTCHA Timeout (minutes)","Délai d'attente du CAPTCHA (minutes)"
"Case Sensitive","Sensible à la casse"
"Displaying Mode","Mode d'affichage"
"Enable CAPTCHA in Admin","Activer le CAPTCHA dans l'Admin"
"Enable CAPTCHA on Frontend","Activer le CAPTCHA dans le frontend"
"Enable CAPTCHA on Storefront","Activer le CAPTCHA sur le front office"
"Font","Police de caractères"
"Forms","Formulaires"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si 0 est choisi, le CAPTCHA sera toujours disponible dans le formulaire de connexion."
"Incorrect CAPTCHA.","CAPTCHA incorrect."
"Incorrect CAPTCHA","CAPTCHA incorrect"
"Number of Symbols","Nombre de symboles"
"Number of Unsuccessful Attempts to Login","Nombre d'essais infructueux"
"Please enter the letters from the image:","Veuillez saisir les lettres affichées sur l'image :"
"Please enter the letters from the image","Veuillez saisir les lettres affichées sur l'image"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Veuillez utiliser seulement des lettres (a-z or A-Z) ou des nombres (0-9). Aucun espace ou autre caractère n'est autorisé.<br />Les caractères similaires (ex. ""i"", ""l"", ""1"") réduisent les chances d'être reconnus par le client."
"Provided form does not exist","Le formulaire n'existe pas"
"Reload captcha","Recharger le CAPTCHA"
"Symbols Used in CAPTCHA","Symboles utilisés dans le CAPTCHA"
