"Custom options have different types.","Les options personnalisées ont des types différents."
"Custom option with such title already declared in source file.","Une option avec ce titre est déjà déclarée dans le fichier source."
"Empty custom option title.","Titre option personnalisée vide."
"Entity type model \'%1\' is not found","Le modèle du type d'entité '%1' est introuvable"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Le modèle du type d'entité doit être une instance de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Le modèle du type d'entité doit être une instance de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Le modèle du type d'entité doit être une instance de Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Le modèle du type d'entité doit être une instance de Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Every option entity must have a parent product entity.","Chaque option doit être associée à un produit."
"File \'%1\' was not found or has read restriction.","Le fichier '%1' n'as pas été trouvé ou n'est pas lisible."
"File directory \'%1\' is not readable.","Le répertoire '%1' n'est pas autorisé en lecture."
"File directory \'%1\' is not writable.","Le répertoire '%1' n'est pas autorisé en écriture."
"Invalid custom option maximum characters value.","Nombre de caractères d'option personnalisée invalide."
"Invalid custom option price.","Option prix personnalisée invalide."
"Invalid custom option sort order.","Tri option personnalisée invalide."
"Invalid custom option store.","Option personnalisée invalide."
"Invalid custom option type.","Type option personnalisée invalide."
"Invalid custom option value price.","Valeur prix option personnalisée invalide."
"Invalid custom option value sort order.","Valeur tri option personnalisée invalide."
"Option entity must have a parent product entity.","L'option doit avoir un produit pour parent."
"Please correct the parameters.","Veuillez corriger les paramètres."
"Please enter a value for title.","Veuillez saisir un titre."
"There are no product types available for export","Aucun type de produit disponible pour l'export"
"There are no product types available for export.","Aucun type de produit disponible pour l'export."
"There are several existing custom options with such name.","Il existe plusieurs options avec le même nom."
"This name is already being used for custom option. Please enter a different name.","Ce nom est déjà utilisé pour une option personnalisée. Merci d'utiliser un nom différent."
"Value for \'maximum characters\' sub attribute in \'custom_options\' attribute contains incorrect value","La valeur du sous-attribut 'maximum characters' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","La valeur du sous-attribut 'maximum characters' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","La valeur du sous-attribut 'price' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for \'price\' sub attribute in \'custom_options\' attribute contains incorrect value","La valeur du sous-attribut 'price' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","La valeur du sous-attribut 'price' de l'attribut 'store' contient une valeur incorrecte"
"Value for \'price\' sub attribute in \'store\' attribute contains incorrect value","La valeur du sous-attribut 'price' de l'attribut 'store' contient une valeur incorrecte"
"Value for \'sort order\' sub attribute in \'custom_options\' attribute contains incorrect value","La valeur du sous-attribut 'sort order' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","La valeur du sous-attribut 'sort order' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for \'type\' sub attribute in \'custom_options\' attribute contains incorrect value, acceptable values are: \'dropdown\', \'checkbox\'","La valeur du sous-attribut 'type' de l'attribut 'custom_options' contient une valeur incorrecte. Les valeurs acceptées sont : 'dropdown' et 'checkbox'"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","La valeur du sous-attribut 'type' de l'attribut 'custom_options' contient une valeur incorrecte. Les valeurs acceptées sont : 'dropdown' et 'checkbox'"
"Value for \'value price\' sub attribute in \'custom_options\' attribute contains incorrect value","La valeur du sous-attribut 'value price' de l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","La valeur du sous-attribut 'value price' de l'attribut 'custom_options' contient une valeur incorrecte"
