"%1 is available for purchase in increments of %2","%1 doit être acheté par multiple de %2",module,Magento_CatalogInventory
"%1 is available to buy in increments of %2","%1 doit être acheté par multiple de %2",module,Magento_CatalogInventory
"%1 is not a correct comparison method.","%1 n'est pas une méthode de comparaison correcte.",module,Magento_CatalogInventory
"Add Minimum Qty","Ajouter une quantité mini",module,Magento_CatalogInventory
"ALL GROUPS","TOUS LES GROUPES",module,Magento_CatalogInventory
"Allow Qty Below 0","Autoriser les quantités négatives",module,Magento_CatalogInventory
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client",module,Magento_CatalogInventory
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir",module,Magento_CatalogInventory
"Backorders","Reliquats",module,Magento_CatalogInventory
"Changing can take some time due to processing whole catalog.","Le changement de cette valeur peut prendre du temps car elle nécessite le traitement de tout le catalogue.",module,Magento_CatalogInventory
"Could not rebuild index for empty products array","Impossible de reconstruire un index produit vide",module,Magento_CatalogInventory
"Customer Group","Groupe de clients",module,Magento_CatalogInventory
"Decimal qty increments is not allowed.","Les incréments de quantités ne peuvent pas être une valeur décimale.",module,Magento_CatalogInventory
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée",module,Magento_CatalogInventory
"Display Out of Stock Products","Afficher les produits épuisés",module,Magento_CatalogInventory
"Display products availability in stock in the frontend","Afficher la disponibilité des produits sur le frontend en fonction du stock",module,Magento_CatalogInventory
"Display products availability in stock on Storefront.","Afficher la disponiblité des produits sur le front office.",module,Magento_CatalogInventory
"Enable Qty Increments","Activer les incréments de quantités",module,Magento_CatalogInventory
"Index Product Stock Status","Indexer les statuts de stock de produit",module,Magento_CatalogInventory
"Index stock","Index du stock",module,Magento_CatalogInventory
"In Stock","En stock",module,Magento_CatalogInventory
"Inventory","Inventaire",module,Magento_CatalogInventory
"Manage Stock","Gérer les stocks",module,Magento_CatalogInventory
"Maximum Qty Allowed in Shopping Cart","Quantité maximale autorisée dans le panier",module,Magento_CatalogInventory
"Minimum Qty","Quantité minimale",module,Magento_CatalogInventory
"Minimum Qty Allowed in Shopping Cart","Quantité minimale autorisée dans le panier",module,Magento_CatalogInventory
"No Backorders","Pas de commandes au delà des stocks",module,Magento_CatalogInventory
"Not all of your products are available in the requested quantity.","Tous vos produits ne sont pas disponibles dans la quantité demandée.",module,Magento_CatalogInventory
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de",module,Magento_CatalogInventory
"Only %1 left","Plus que %1 en stock",module,Magento_CatalogInventory
"Only X left Threshold","Seuil pour afficher 'Plus que X produits restant'",module,Magento_CatalogInventory
"Out of Stock","En rupture de stock",module,Magento_CatalogInventory
"Out-of-Stock Threshold","Quantité pour que le produit passe à épuisé",module,Magento_CatalogInventory
"Please correct the quantity for some products.","Veuillez corriger la quantité de certains produits.",module,Magento_CatalogInventory
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Veuillez noter que ces paramètres s'appliquent aux articles du panier individuellement, et non à l'ensemble du panier.",module,Magento_CatalogInventory
"Product availability","Disponibilité des produits",module,Magento_CatalogInventory
"Product Name","Nom du produit",module,Magento_CatalogInventory
"Product Stock Options","Options de stock de produits",module,Magento_CatalogInventory
"Products will still be shown by direct product URLs.","Les produits seront accessibles directement par leurs URLs.",module,Magento_CatalogInventory
"Product with SKU ""%1"" does not exist","Le produit avec le SKU ""%1"" n'existe pas",module,Magento_CatalogInventory
"Qty","Qté",module,Magento_CatalogInventory
"Qty for Item's Status to Become Out of Stock","Qté pour que le statut du produit passe à épuisé",module,Magento_CatalogInventory
"Qty Increments","Incréments de quantités",module,Magento_CatalogInventory
"Quantity","Quantité",module,Magento_CatalogInventory
"Set Items' Status to be In Stock When Order is Cancelled","Passer le statut des articles à Disponible"" quand une commande est annulée""",module,Magento_CatalogInventory
"Some of the products are currently out of stock.","Produit épuisé.",module,Magento_CatalogInventory
"Some of the products are out of stock.","Certains de ces produits sont en rupture de stock.",module,Magento_CatalogInventory
"Stock","Stock",module,Magento_CatalogInventory
"Stock Item with id ""%1"" does not exist.","L'élément de stock avec l'ID ""%1"" n'existe pas.",module,Magento_CatalogInventory
"Stock Options","Options de stock",module,Magento_CatalogInventory
"Stock Status","État du stock",module,Magento_CatalogInventory
"Stock with id ""%1"" does not exist.","Le stock ID ""%1"" n'existe pas.",module,Magento_CatalogInventory
"The fewest you may purchase is %1.","La quantité minimale que vous pouvez acheter est de %1.",module,Magento_CatalogInventory
"The most you may purchase is %1.","La quantité maximale que vous pouvez acheter est de %1.",module,Magento_CatalogInventory
"The stock item for Product in option is not valid.","L'article en stock pour cette option du produit n'est pas valide.",module,Magento_CatalogInventory
"The stock item for Product is not valid.","L'article en stock pour ce produit n'est pas valide.",module,Magento_CatalogInventory
"This product is out of stock.","Ce produit est en rupture de stock.",module,Magento_CatalogInventory
"Undefined product type","Type de produit indéfini",module,Magento_CatalogInventory
"Unsupported product type ""%1"".","Type de produit non supporté : ""%1"".",module,Magento_CatalogInventory
