"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l'attribut ""%2"" a été désactivée.",module,Magento_CatalogRule
"Actions","Actions",module,Magento_CatalogRule
"Active","Actif",module,Magento_CatalogRule
"Add New Rule","Ajouter une nouvelle règle",module,Magento_CatalogRule
"Adjust final price to discount value","Nouveau prix en montant fixe",module,Magento_CatalogRule
"Adjust final price to this percentage","Pourcentage du prix original",module,Magento_CatalogRule
"An error occurred while deleting the rule. Please review the log and try again.","Erreur lors de la suppression de la règle. Vérifiez les logs et réessayez.",module,Magento_CatalogRule
"An error occurred while saving the rule data. Please review the log and try again.","Erreur lors de la sauvegarde de la règle. Vérifiez les logs et réessayez.",module,Magento_CatalogRule
"Apply","Appliquer",module,Magento_CatalogRule
"Apply as fixed amount","Remise d'un montant fixe",module,Magento_CatalogRule
"Apply as percentage of original","En pourcentage du prix d'origine",module,Magento_CatalogRule
"Apply Rules","Appliquer les règles",module,Magento_CatalogRule
"Attribute Set","Jeu d'attributs",module,Magento_CatalogRule
"By Fixed Amount","Remise d'un montant fixe",module,Magento_CatalogRule
"By Fixed value","Remise d'une valeur de",module,Magento_CatalogRule
"By Percentage","En pourcentage",module,Magento_CatalogRule
"By Percentage of the Original Price","En pourcentage du prix d'origine",module,Magento_CatalogRule
"Catalog","Catalogue",module,Magento_CatalogRule
"Catalog Price Rule","Règle de prix catalogue",module,Magento_CatalogRule
"Catalog Price Rules","Règles de prix catalogue",module,Magento_CatalogRule
"Catalog Product Rule","Règle produit catalogue",module,Magento_CatalogRule
"Catalog Rule Product","Règles produit catalogue",module,Magento_CatalogRule
"Conditions","Conditions",module,Magento_CatalogRule
"Conditions Combination","Combinaison de conditions",module,Magento_CatalogRule
"Conditions (don't add conditions if rule is applied to all products)","Conditions (ne pas ajouter de conditions si la règle doit s'appliquer à tous les produits)",module,Magento_CatalogRule
"Conditions (leave blank for all products)","Conditions (laisser vide pour appliquer à tous les produits)",module,Magento_CatalogRule
"Could not rebuild index for empty products array","Impossible de reconstruire un index produit vide",module,Magento_CatalogRule
"Customer Groups","Groupes clients",module,Magento_CatalogRule
"Description","Description",module,Magento_CatalogRule
"Discard subsequent rules","Ignorer les règles suivantes",module,Magento_CatalogRule
"Discount Amount","Montant de la remise",module,Magento_CatalogRule
"Discount value should be 0 or greater.","La valeur de la remise doit être supérieure à 0.",module,Magento_CatalogRule
"Edit Rule '%1'","Modifier la règle '%1'",module,Magento_CatalogRule
"Edit Rule","Modifier la règle",module,Magento_CatalogRule
"Enable Discount to Subproducts","Activer les remises sur les sous-produits",module,Magento_CatalogRule
"End","Fin",module,Magento_CatalogRule
"End on","Fin le",module,Magento_CatalogRule
"From","De",module,Magento_CatalogRule
"From Date","Date de début",module,Magento_CatalogRule
"General Information","Informations générales",module,Magento_CatalogRule
"ID","ID",module,Magento_CatalogRule
"Inactive","Inactif",module,Magento_CatalogRule
"Indexed product/rule association","Indexe des associations produits/règle catalogue",module,Magento_CatalogRule
"Indexed rule/product association","Indexation des associations règles catalogue/produit",module,Magento_CatalogRule
"New Catalog Price Rule","Nouvelle règle de prix catalogue",module,Magento_CatalogRule
"New Rule","Nouvelle règle",module,Magento_CatalogRule
"No","Non",module,Magento_CatalogRule
"Percentage discount should be between 0 and 100.","La remise en pourcentage doit être comprise entre 0 et 100.",module,Magento_CatalogRule
"Pricing Structure Rules","Règles d'application des prix",module,Magento_CatalogRule
"Priority","Priorité",module,Magento_CatalogRule
"Product","Produit",module,Magento_CatalogRule
"Product Attribute","Attribut produit",module,Magento_CatalogRule
"Promo","Promo",module,Magento_CatalogRule
"Promotions","Promotions",module,Magento_CatalogRule
"Rule","Règle",module,Magento_CatalogRule
"Rule Information","Information sur la règle",module,Magento_CatalogRule
"Rule Name","Nom de la règle",module,Magento_CatalogRule
"Rule price","Règle de prix",module,Magento_CatalogRule
"Save and Apply","Enregistrer et appliquer",module,Magento_CatalogRule
"Save and Continue Edit","Enregistrer et continuer la modification",module,Magento_CatalogRule
"SKU","SKU",module,Magento_CatalogRule
"Something went wrong while saving the rule data. Please review the error log.","Une erreur s'est produite lors de l'enregistrement de la règle. Veuillez vérifier le journal des erreurs.",module,Magento_CatalogRule
"Start","Commencer",module,Magento_CatalogRule
"Start on","Démarrer",module,Magento_CatalogRule
"Status","Statut",module,Magento_CatalogRule
"Stop Further Rules Processing","Ne pas traiter les règles suivantes",module,Magento_CatalogRule
"Subproduct discounts","Activer les remises sur les sous-produits",module,Magento_CatalogRule
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Certaines règles ont changé mais n'ont pas pu être appliquées. Cliquez sur 'Appliquer les règles' afin d'en voir le résultat immédiat.",module,Magento_CatalogRule
"The rule has been deleted.","La règle a été supprimée.",module,Magento_CatalogRule
"The rule has been saved.","La règle a été sauvegardée.",module,Magento_CatalogRule
"The rules have been applied.","Les règles ont bien été appliquées.",module,Magento_CatalogRule
"This rule no longer exists.","Cette règle n'existe plus.",module,Magento_CatalogRule
"To","À",module,Magento_CatalogRule
"To Date","Date de fin",module,Magento_CatalogRule
"To Fixed Amount","Nouveau prix en montant fixe",module,Magento_CatalogRule
"To Fixed Value","Nouveau prix",module,Magento_CatalogRule
"To Percentage","Pourcentage",module,Magento_CatalogRule
"To Percentage of the Original Price","Pourcentage du prix original",module,Magento_CatalogRule
"Type","Type",module,Magento_CatalogRule
"Unable to apply rules.","Impossible d'appliquer les règles.",module,Magento_CatalogRule
"Unable to find a rule to delete.","Impossible de trouver la règle à supprimer.",module,Magento_CatalogRule
"Unknown action.","Action inconnue.",module,Magento_CatalogRule
"Updated rules applied.","Mise à jour des règles appliquée.",module,Magento_CatalogRule
"Update Prices Using the Following Information","Mettre à jour les prix en utilisant l'information suivante",module,Magento_CatalogRule
"Update product's %1 %2: %3","Mettre à jour le %1 du produit %2 : %3",module,Magento_CatalogRule
"Update the Product","Mettre à jour le produit",module,Magento_CatalogRule
"Web Site","Site web",module,Magento_CatalogRule
"Websites","Sites web",module,Magento_CatalogRule
"We can't apply the rules.","Impossible d'appliquer les règles.",module,Magento_CatalogRule
"We can't delete this rule right now. Please review the log and try again.","Impossible de supprimer la règle. Veuillez consulter le journal des erreurs et essayer à nouveau.",module,Magento_CatalogRule
"We can't find a rule to delete.","Impossible de trouver la règle à supprimer.",module,Magento_CatalogRule
"We can't find a rule to delete.","Impossible de trouver la règle à supprimer.",module,Magento_CatalogRule
"We can't rebuild the index for an undefined product.","Nous ne pouvons pas reconstruire l'index d'un produit non défini.",module,Magento_CatalogRule
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Certaines règles n'ont pas été appliquées. Veuillez cliquer sur ""Appliquer les règles"" pour mettre à jour le catalogue.",module,Magento_CatalogRule
"Wrong rule specified.","Mauvaise règle spécifiée.",module,Magento_CatalogRule
"Yes","Oui",module,Magento_CatalogRule
"You deleted the rule.","Règle supprimée.",module,Magento_CatalogRule
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","La règle de prix catalogue %1 a été désactivée car elle est basée sur l'attribut ""%2"".",module,Magento_CatalogRule
"You saved the rule.","Règle sauvegardée.",module,Magento_CatalogRule
