"%1 and above","%1 et plus",module,Magento_CatalogSearch
"%1 and greater","%1 et plus",module,Magento_CatalogSearch
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 articles</strong> trouvés avec les critères de recherche suivants",module,Magento_CatalogSearch
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 article</strong> trouvé avec les critères de recherche suivants",module,Magento_CatalogSearch
"%1 - %2","%1 - %2",module,Magento_CatalogSearch
"Action","Action",module,Magento_CatalogSearch
"Advanced Search","Recherche Avancée",module,Magento_CatalogSearch
"All","Tous",module,Magento_CatalogSearch
"Applies for ""Like"" search type only","Appliquez pour les recherches de type ""Like"" seulement",module,Magento_CatalogSearch
"Apply Layered Navigation if Search Results are Less Than","Appliquer la navigation par filtre si les résultats de recherche sont inférieurs à",module,Magento_CatalogSearch
"Are you sure?","Êtes-vous sûr(e) ?",module,Magento_CatalogSearch
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Changement de configuration attribut en relation avec l'index de recherche. Veuillez <a href=""%1"">reconstruire l'index de recherche</a>.",module,Magento_CatalogSearch
"Bucket do not exists","Le bucket n'existe pas",module,Magento_CatalogSearch
"Catalog Advanced Search","Recherche avancée dans le catalogue",module,Magento_CatalogSearch
"Catalog Search","Catalogue, recherche",module,Magento_CatalogSearch
"Category","Catégorie",module,Magento_CatalogSearch
"Delete","Supprimer",module,Magento_CatalogSearch
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?",module,Magento_CatalogSearch
"Edit","Modifier",module,Magento_CatalogSearch
"Enter ""0"" to enable layered navigation for any number of results.","Saisissez ""0"" pour activer la navigation par filtre pour n'importe quel nombre de résultats.",module,Magento_CatalogSearch
"Go to Home Page","Aller à la page d'accueil",module,Magento_CatalogSearch
"Grid","Grille",module,Magento_CatalogSearch
"Home","Accueil",module,Magento_CatalogSearch
"List","Liste",module,Magento_CatalogSearch
"Maximum Query Length","Longueur maxi de requête",module,Magento_CatalogSearch
"Maximum Query Words Count","Nombre maxi de mots dans la requête",module,Magento_CatalogSearch
"Minimal Query Length","Longueur minimale de requête",module,Magento_CatalogSearch
"Minimum Search query length is %1","La longueur minimale de la requête de recherche est de %1",module,Magento_CatalogSearch
"Modify your search","Modifier votre recherche",module,Magento_CatalogSearch
"name","nom",module,Magento_CatalogSearch
"no","non",module,Magento_CatalogSearch
"No","Non",module,Magento_CatalogSearch
"No items were found using the following search criteria.","Aucun résultat pour ces critères de recherche.",module,Magento_CatalogSearch
"Please specify at least one search term.","Spécifiez au moins un terme de recherche.",module,Magento_CatalogSearch
"Please specify correct data.","Veuillez remplir des données correctes.",module,Magento_CatalogSearch
"Popular Search Terms","Termes de recherche populaires",module,Magento_CatalogSearch
"Product","Produit",module,Magento_CatalogSearch
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit",module,Magento_CatalogSearch
"Redirect URL","URL de redirection",module,Magento_CatalogSearch
"Relevance","Pertinence",module,Magento_CatalogSearch
"Results","Résultats",module,Magento_CatalogSearch
"Search","Rechercher",module,Magento_CatalogSearch
"Search entire store here...","Rechercher...",module,Magento_CatalogSearch
"Search Query","Termes de recherche",module,Magento_CatalogSearch
"Search results for: '%1'","Résultats de recherche pour : '%1'",module,Magento_CatalogSearch
"Search Settings","Paramètres de recherche",module,Magento_CatalogSearch
"Search Type","Type de recherche",module,Magento_CatalogSearch
"Search Weight","Poids dans la recherche",module,Magento_CatalogSearch
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Le nombre maximum de mots est de %1. Mots exclus dans votre recherche : %2.",module,Magento_CatalogSearch
"Store","Boutique",module,Magento_CatalogSearch
"Suggested Terms","Termes suggérés",module,Magento_CatalogSearch
"Synonym","Synonyme",module,Magento_CatalogSearch
"There are no search terms available.","Aucun terme de recherche disponible.",module,Magento_CatalogSearch
"up to %1","jusqu'à %1",module,Magento_CatalogSearch
"Uses","Utilisations",module,Magento_CatalogSearch
"We can't find any items matching these search criteria.","Nous ne pouvons pas trouver tous les éléments correspondant à ces critères de recherche.",module,Magento_CatalogSearch
"Yes","Oui",module,Magento_CatalogSearch
"yes","oui",module,Magento_CatalogSearch
"Your search query can't be longer than %1, so we had to shorten your query.","La longueur de votre recherche ne peut excéder %1, nous avons donc réduit votre requête.",module,Magento_CatalogSearch
"Your search returned no results.","Votre recherche n'a donné aucun résultat.",module,Magento_CatalogSearch
"Your search returns no results.","Aucun résultat pour votre recherche.",module,Magento_CatalogSearch
