"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser, purgez le cache de sortie des blocs HTML."
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wish List","Ajouter à ma liste d'envie"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Catalog Products List","Liste du catalogue produits"
"Conditions","Conditions"
"Conditions Combination","Combinaison de conditions"
"Display Page Control","Contrôle de l'affichage de la page"
"In stock","En stock"
"List of Products","Liste des produits"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Out of stock","En rupture de stock"
"Please choose a condition to add.","Veuillez choisir une condition à ajouter."
"Product Attribute","Attribut produit"
"Products Grid Template","Template de la grille de produits"
"SKU","SKU"
"Template","Gabarit"
"Title","Titre"
