"%1 doesn't extend MagentoCheckoutCustomerDataItemInterface","%1 n'étend pas MagentoCheckoutCustomerDataItemInterface",module,Magento_Checkout
"1 item","1 article",module,Magento_Checkout
"%1 items","%1 articles",module,Magento_Checkout
"%1 was updated in your shopping cart.","%1 a été mis à jour dans votre panier.",module,Magento_Checkout
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Confirmation de compte requise. Veuillez vérifier vos emails pour obtenir le lien de confirmation. Pour recevoir à nouveau la confirmation, <a href=""%1"">cliquez ici</a>.",module,Magento_Checkout
"Address","Adresse",module,Magento_Checkout
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit",module,Magento_Checkout
"A letter with further instructions will be sent to your email.","Un email avec d'autres instructions vous sera envoyé.",module,Magento_Checkout
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité",module,Magento_Checkout
"Already registered?","Vous avez déjà un compte ?",module,Magento_Checkout
"Apply Coupon","Utiliser un bon de réduction",module,Magento_Checkout
"Apply Discount","Appliquer la remise",module,Magento_Checkout
"Apply Discount Code","Appliquer un code de réduction",module,Magento_Checkout
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr(e) de vouloir retirer cet article du panier ?",module,Magento_Checkout
"Back","Retour",module,Magento_Checkout
"Billing Address","Adresse de facturation",module,Magento_Checkout
"Billing Address:","Adresse de facturation :",module,Magento_Checkout
"Billing Information","Informations de facturation",module,Magento_Checkout
"Cancel","Annuler",module,Magento_Checkout
"Cancel Coupon","Annuler le bon de réduction",module,Magento_Checkout
"Carrier Title","Nom du transporteur",module,Magento_Checkout
"Carrier with such method not found: %1, %2","Méthode transporteur introuvable : %1, %2",module,Magento_Checkout
"Cart contains virtual product(s) only. Shipping address is not applicable.","Le panier contient seulement des produits virtuels. L'adresse de livraison n'est pas applicable.",module,Magento_Checkout
"Cart Subtotal","Sous-total du panier",module,Magento_Checkout
"Change","Modifier",module,Magento_Checkout
"Checkout","Commander",module,Magento_Checkout
"Checkout as a Guest","Commander en tant qu'invité",module,Magento_Checkout
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer",module,Magento_Checkout
"Checkout as Guest","Régler en tant qu'invité",module,Magento_Checkout
"Checkout Method","Mode de commande",module,Magento_Checkout
"Checkout Options","Options de règlement",module,Magento_Checkout
"Checkout Type","Type de commande",module,Magento_Checkout
"City","Ville",module,Magento_Checkout
"Clear Shopping Cart","Vider le panier",module,Magento_Checkout
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats.",module,Magento_Checkout
"Click <a href=""%1"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%1"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de votre confirmation de commande.",module,Magento_Checkout
"Company","Société",module,Magento_Checkout
"Confirm Password","Confirmer le mot de passe",module,Magento_Checkout
"Continue","Continuer",module,Magento_Checkout
"Continue Shopping","Continuer vos achats",module,Magento_Checkout
"Country","Pays",module,Magento_Checkout
"Customer:","Client :",module,Magento_Checkout
"Customer is already registered","Client déjà sauvegardé",module,Magento_Checkout
"Date & Time:","Date et heure :",module,Magento_Checkout
"Discount Codes","Codes de remises",module,Magento_Checkout
"Display Cart Summary","Afficher le résumé du panier",module,Magento_Checkout
"Display item quantities","Afficher la quantité article",module,Magento_Checkout
"Display number of items in cart","Afficher le nombre de produits différents dans le panier",module,Magento_Checkout
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier",module,Magento_Checkout
"Easy access to your order history and status","Consultez et suivez vos commandes",module,Magento_Checkout
"Edit","Modifier",module,Magento_Checkout
"edit","modifier",module,Magento_Checkout
"Edit item","Modifier l'article",module,Magento_Checkout
"Edit item parameters","Modifier les paramètres de l'article",module,Magento_Checkout
"Edit Your Cart","Modifiez votre panier",module,Magento_Checkout
"Email Address","Adresse email",module,Magento_Checkout
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée.",module,Magento_Checkout
"Enable Onepage Checkout","Activer le passage de commande en une seule page",module,Magento_Checkout
"Enter discount code","Entrez le code de réduction",module,Magento_Checkout
"Enter your code","Saisissez votre code",module,Magento_Checkout
"Enter your destination to get a shipping estimate.","Choisissez votre destination pour estimer les frais de port.",module,Magento_Checkout
"Error!","Erreur !",module,Magento_Checkout
"Error message!","Erreur !",module,Magento_Checkout
"Estimated Total","Total estimé",module,Magento_Checkout
"Estimate Shipping and Tax","Estimer la livraison et la TVA",module,Magento_Checkout
"Estimate Tax","Estimation taxe",module,Magento_Checkout
" Example: "," Exemple : ",module,Magento_Checkout
"Excl. Tax","HT",module,Magento_Checkout
"Fast and easy check out","Commander plus vite et plus facilement",module,Magento_Checkout
"Fax","Fax",module,Magento_Checkout
"For delivery questions.","Pour des questions concernant la livraison.",module,Magento_Checkout
"Forgot an Item?","Vous avez oublié un article ?",module,Magento_Checkout
"Forgot Password","Mot de passe oublié",module,Magento_Checkout
"Forgot Your Password?","Mot de passe oublié ?",module,Magento_Checkout
"Get a Quote","Obtenir une estimation",module,Magento_Checkout
"Go to Checkout","Procéder au paiement",module,Magento_Checkout
"Guest checkout is disabled.","Le passage de commande invité est désactivé.",module,Magento_Checkout
"If you believe it is the right one you can ignore this notice.","Si vous pensez que c\'est nécessaire, vous pouvez ignorer cet avis.",module,Magento_Checkout
"Incl. Tax","TTC",module,Magento_Checkout
"Invalid data","Données invalides",module,Magento_Checkout
"Invalid method: %1","Méthode invalide : %1",module,Magento_Checkout
