"A block identifier with the same properties already exists in the selected store.","Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans la boutique sélectionnée.",module,Magento_Cms
"Action","Action",module,Magento_Cms
"Add New Block","Ajouter un nouveau bloc",module,Magento_Cms
"Add New Page","Ajouter une nouvelle page",module,Magento_Cms
"All Store Views","Toutes les vues magasin",module,Magento_Cms
"Anchor Custom Text","Présenter un texte personnalisé",module,Magento_Cms
"Anchor Custom Title","Présenter un titre personnalisé",module,Magento_Cms
"A page URL key for specified store already exists.","Il existe déjà une clé d'URL de page pour la boutique sélectionnée.",module,Magento_Cms
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Êtes-vous sûr(e) de vouloir supprimer ""${ $.$data.title }"" ?",module,Magento_Cms
"Are you sure you wan't to delete a ${ $.$data.title } record?","Êtes-vous sûr(e) de vouloir supprimer ""${ $.$data.title }"" ?",module,Magento_Cms
"Are you sure you wan't to delete selected items?","Êtes-vous sûr(e) de vouloir supprimer les éléments sélectionnés ?",module,Magento_Cms
"Are you sure you want to delete this file?","Êtes-vous sûr(e) de vouloir supprimer ce fichier ?",module,Magento_Cms
"Are you sure you want to delete this folder?","Êtes-vous sûr(e) de vouloir supprimer ce dossier ?",module,Magento_Cms
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrement(s) supprimé(s).",module,Magento_Cms
"A total of %1 record(s) have been disabled.","Un total de %1 enregistrement(s) désactivé(s).",module,Magento_Cms
"A total of %1 record(s) have been enabled.","Un total de %1 enregistrement(s) activé(s).",module,Magento_Cms
"Block","Bloc",module,Magento_Cms
"Block Information","Information du bloc",module,Magento_Cms
"Blocks","Blocs",module,Magento_Cms
"Block Title","Titre du bloc",module,Magento_Cms
"Browse Files...","Parcourir les fichiers...",module,Magento_Cms
"Browser Capabilities Detection","Détection des capacités du navigateur",module,Magento_Cms
"CMS","CMS",module,Magento_Cms
"CMS Block with id ""%1"" does not exist.","Le bloc CMS id ""%1"" n'existe pas.",module,Magento_Cms
"CMS Home Page","Page d'accueil CMS",module,Magento_Cms
"CMS No Cookies Page","Page CMS quand les cookies sont désactivés",module,Magento_Cms
"CMS No Route Page","Page CMS de ressource non trouvée",module,Magento_Cms
"CMS Page","Page CMS",module,Magento_Cms
"CMS Page Link","Lien page CMS",module,Magento_Cms
"CMS Page Link Block Template","Gabarit du bloc lien page CMS",module,Magento_Cms
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS",module,Magento_Cms
"CMS Page with id ""%1"" does not exist.","La page CMS id ""%1"" n'existe pas.",module,Magento_Cms
"CMS Static Block","Bloc CMS statique",module,Magento_Cms
"CMS Static Block Default Template","Gabarit par défaut du bloc statique CMS",module,Magento_Cms
"Collapse All","Tout Réduire",module,Magento_Cms
"Content","Contenu",module,Magento_Cms
"Content Heading","En-tête de contenu",module,Magento_Cms
"Content Management","Gestion du Contenu",module,Magento_Cms
"Contents of a Static Block","Contenu d'un bloc statique",module,Magento_Cms
"Could not create directory.","Impossible de créer le répertoire.",module,Magento_Cms
"Created","Créé",module,Magento_Cms
"Create Folder...","Créer un dossier...",module,Magento_Cms
"Custom Design","Design Personnalisé",module,Magento_Cms
"Custom Design From","Design personnalisé à partir du",module,Magento_Cms
"Custom design from","Design personnalisé à partir du",module,Magento_Cms
"Custom design to","Design personnalisé jusqu'au",module,Magento_Cms
"Custom Design To","Design personnalisé jusqu'au",module,Magento_Cms
"Custom Layout","Agencement personnalisé",module,Magento_Cms
"Custom Layout Update XML","XML de mise à jour de l'agencement personnalisé",module,Magento_Cms
"Custom Theme","Thème personnalisé",module,Magento_Cms
"Delete","Supprimer",module,Magento_Cms
"Delete Block","Supprimer le bloc",module,Magento_Cms
"Delete ""${ $.$data.title }""","Supprimer ""${ $.$data.title }""",module,Magento_Cms
"Delete ${ $.$data.title }","Supprimer ${ $.$data.title }",module,Magento_Cms
"Delete File","Supprimer le fichier",module,Magento_Cms
"Delete Folder","Supprimer le dossier",module,Magento_Cms
"Delete items","Supprimer les éléments",module,Magento_Cms
"Delete Page","Supprimer la page",module,Magento_Cms
"Description","Description",module,Magento_Cms
"Design","Design",module,Magento_Cms
"Details","Détails",module,Magento_Cms
"Directory %1 is not under storage root path.","Le répertoire %1 n'est pas un chemin d'accès à la racine de stockage.",module,Magento_Cms
"Disable","Désactiver",module,Magento_Cms
"Disabled","Désactivé",module,Magento_Cms
"Disabled by Default","Désactivé par défaut",module,Magento_Cms
"Disabled Completely","Désactivé complètement",module,Magento_Cms
"Edit","Modifier",module,Magento_Cms
"Edit Block '%1'","Modifier le bloc '%1'",module,Magento_Cms
"Edit Block","Modifier le bloc",module,Magento_Cms
"Edit Page '%1'","Modifier la page '%1'",module,Magento_Cms
"Edit Page","Modifier la page",module,Magento_Cms
"Elements","Éléments",module,Magento_Cms
"Enable","Activer",module,Magento_Cms
"Enabled","Activé",module,Magento_Cms
