"%1 An empty value is allowed as well.","%1 Une valeur vide est autorisée.",module,Magento_Config
"%1 (Default)","%1 (Défaut)",module,Magento_Config
".",".",module,Magento_Config
"Add","Ajouter",module,Magento_Config
"Add after","Ajouter après",module,Magento_Config
"Add Exception","Ajouter une exception",module,Magento_Config
"Always (during development)","Toujours (pendant le développement)",module,Magento_Config
"Base currency","Devise de base",module,Magento_Config
"Bcc","Bcc",module,Magento_Config
"Config form fieldset clone model required to be able to clone fields","Config formulaire du modèle de clone de champs requis pour être en mesure de cloner ces champs",module,Magento_Config
"Configuration","Configuration",module,Magento_Config
"Currency ""%1"" is used as %2 in %3.","La devise ""%1"" est utilisée comme %2 dans %3.",module,Magento_Config
"Current Configuration Scope:","Portée de la configuration courante :",module,Magento_Config
"Default Config","Configuration par défaut",module,Magento_Config
"Default display currency ""%1"" is not available in allowed currencies.","La devise affichée par défaut ""%1"" n'est pas disponible dans les devises autorisées.",module,Magento_Config
"Default scope","Portée par défaut",module,Magento_Config
"Delete","Supprimer",module,Magento_Config
"Delete File","Supprimer le fichier",module,Magento_Config
"Design Theme","Thème de design",module,Magento_Config
"Disable","Désactiver",module,Magento_Config
"Display default currency","Afficher la devise par défaut",module,Magento_Config
"element comment","élément commentaire",module,Magento_Config
"element hint","élément d'indication",module,Magento_Config
"element label","libellé de l'élément",module,Magento_Config
"element tooltip","élément infobulle",module,Magento_Config
"Enable","Activer",module,Magento_Config
"Field 2","Champ 2",module,Magento_Config
"Field 3","Champ 3",module,Magento_Config
"Field 4","Champ 4",module,Magento_Config
"Field 3.1","Champ 3.1",module,Magento_Config
"Field 3.1.1","Champ 3.1.1",module,Magento_Config
"[GLOBAL]","[GLOBAL]",module,Magento_Config
"Group Label","Libellé du groupe",module,Magento_Config
"HTTPS (SSL)","HTTPS (SSL)",module,Magento_Config
"HTTP (unsecure)","HTTP (non sécurisé)",module,Magento_Config
"Invalid %1. %2","Invalide %1. %2",module,Magento_Config
"Invalid XML in file %1:n%2","XML invalide dans le fichier %1 : n%2",module,Magento_Config
"Maximum sender name length is 255. Please correct your settings.","La longueur maximale du nom de l'expéditeur est de 255. Veuillez corriger vos paramètres.",module,Magento_Config
"Never (production)","Jamais (en production)",module,Magento_Config
"No","Non",module,Magento_Config
"-- No Theme --","-- aucun thème --",module,Magento_Config
"Only Once (version upgrade)","Une fois seulement (mise à jour de version)",module,Magento_Config
