"%","%",module,Magento_ConfigurableProduct
"Actions","Actions",module,Magento_ConfigurableProduct
"Add configurable attributes to the current Attribute Set (""%1"")","Ajouter un attribut configurable au groupe d'attribut actuel (""%1"")",module,Magento_ConfigurableProduct
"Add configurable attributes to the current set (""<span data-role=""name-container"">%1</span>"")","Ajouter des attributs configurables au jeu d'attributs (""<span data-role=""name-container"">%1</span>"")",module,Magento_ConfigurableProduct
"Add configurable attributes to the existing Attribute Set","Ajouter un attribut configurable au groupe d'attribut existant",module,Magento_ConfigurableProduct
"Add configurable attributes to the new Attribute Set based on current","Ajouter des attributs configurables au nouveau jeu d'attributs sur le jeu d'attributs courant",module,Magento_ConfigurableProduct
"Add configurable attributes to the new set based on current","Ajouter des attributs configurables au jeu d'attributs",module,Magento_ConfigurableProduct
"Add Option","Ajouter une option",module,Magento_ConfigurableProduct
"Add Products Manually","Ajouter les produits manuellement",module,Magento_ConfigurableProduct
"Alt Text","Texte Alternatif",module,Magento_ConfigurableProduct
"An attribute has been removed. This attribute will no longer appear in your configurations.","Un attribut a été supprimé. Cet attribut n\'apparaîtra plus dans vos configurations.",module,Magento_ConfigurableProduct
"Apply single price to all SKUs","Appliquer un prix unique à tous les SKUs",module,Magento_ConfigurableProduct
"Apply single quantity to each SKUs","Appliquer une quantité unique pour chaque SKU",module,Magento_ConfigurableProduct
"Apply single set of images to all SKUs","Appliquer le groupe d'images à toutes les SKU",module,Magento_ConfigurableProduct
"Apply unique images by attribute to each SKU","Utiliser des images uniques par attribut pour chaque SKU",module,Magento_ConfigurableProduct
"Apply unique prices by attribute to each SKU","Appliquer un prix unique par attribut pour chaque SKU",module,Magento_ConfigurableProduct
"Apply unique quantity by attribute to each SKU","Appliquer une quantité unique par attribut pour chaque SKU",module,Magento_ConfigurableProduct
"Associated Products","Produits associés",module,Magento_ConfigurableProduct
"Attribute Code","Code de l'attribut",module,Magento_ConfigurableProduct
"Attribute Label","Libellé de l'attribut",module,Magento_ConfigurableProduct
"Attribute set comprising all selected configurable attributes need to be in order to save generated variations.","Le jeux d'attributs comprenant tous les attributs configurables doivent être correctement configurés pour générer les variantes.",module,Magento_ConfigurableProduct
"Attribute Values","Valeurs d'attribut",module,Magento_ConfigurableProduct
"Autogenerate","Générer automatiquement",module,Magento_ConfigurableProduct
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","Sur la base de vos sélections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        les nouveaux produits seront créés. Utilisez cette étape pour personnaliser les images et les prix de vos nouveaux produits .",module,Magento_ConfigurableProduct
"begin typing to add value","commencez à saisir pour ajouter une valeur",module,Magento_ConfigurableProduct
"Browse Files...","Parcourir les fichiers...",module,Magento_ConfigurableProduct
"Browse to find or drag image here","Parcourir les fichiers ou glisser l'image ici",module,Magento_ConfigurableProduct
"Bulk Images &amp; Price","Action de masse images &amp; prix",module,Magento_ConfigurableProduct
"Cancel","Annuler",module,Magento_ConfigurableProduct
"Cannot add the item to shopping cart","Impossible d'ajouter l'article au panier",module,Magento_ConfigurableProduct
"Cannot delete option with id: %1","Impossible de supprimer l'option ID %1",module,Magento_ConfigurableProduct
"Cannot delete variations from product: %1","Vous ne pouvez pas supprimer les variations du produit : %1",module,Magento_ConfigurableProduct
"catalogProductMediaConfig is already set","catalogProductMediaConfig est déjà défini",module,Magento_ConfigurableProduct
"Change Price","Changer le prix",module,Magento_ConfigurableProduct
"Choose","Choisir",module,Magento_ConfigurableProduct
"Choose a different Product","Choisissez un autre produit",module,Magento_ConfigurableProduct
"Choose Affected Attribute Set","Choisissez le jeu d\'attributs",module,Magento_ConfigurableProduct
"Choose an Option...","Choisissez une option...",module,Magento_ConfigurableProduct
"Choose existing Attribute Set","Choisissez un jeu d'attributs existant",module,Magento_ConfigurableProduct
"Comparable","Comparable",module,Magento_ConfigurableProduct
"Configurable product ""%1"" do not have sub-products","Le produit configurable ""%1"" n'a pas de sous-produits",module,Magento_ConfigurableProduct
"Configurable Product Image","Image du produit Configurable",module,Magento_ConfigurableProduct
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Les produits configurables permettent aux clients de choisir des options (ex : couleur de chemise).
             Vous devez créer un produit simple pour chaque configuration (ex : un produit pour chaque couleur).",module,Magento_ConfigurableProduct
"Configurable Product Settings","Paramètres produit configurable",module,Magento_ConfigurableProduct
"Configuration must have specified attributes","La configuration doit avoir des attributs spécifiques",module,Magento_ConfigurableProduct
"Configurations","Configurations",module,Magento_ConfigurableProduct
"Confirm","Confirmer",module,Magento_ConfigurableProduct
"Could not update option with id ""%1""","Impossible de mettre à jour l'option id ""%1""",module,Magento_ConfigurableProduct
"Create Configurations","Créer des Configurations",module,Magento_ConfigurableProduct
"Create Empty","Créer vide",module,Magento_ConfigurableProduct
"Create New Attribute","Créer un nouvel attribut",module,Magento_ConfigurableProduct
"Create New Value","Créez une nouvelle valeur",module,Magento_ConfigurableProduct
"Create New Variation Set","Créer un nouveau jeu de variations",module,Magento_ConfigurableProduct
"Create Product Configurations","Créer des configurations de produit",module,Magento_ConfigurableProduct
"Current Variations","Variations actuelles",module,Magento_ConfigurableProduct
"Delete","Supprimer",module,Magento_ConfigurableProduct
"Delete Variations Group","Supprimer le groupe de variantes",module,Magento_ConfigurableProduct
"Deselect All","Tout désélectionner",module,Magento_ConfigurableProduct
"Display","Affichage",module,Magento_ConfigurableProduct
"Done","Terminé",module,Magento_ConfigurableProduct
"Edit Configurations","Modifier les configurations",module,Magento_ConfigurableProduct
"Edit role","Modifier le rôle",module,Magento_ConfigurableProduct
"File extension not known or unsupported type.","Extension de fichier non reconnue ou non supportée.",module,Magento_ConfigurableProduct
"For better results, add attributes and attribute values to your products.","Pour de meilleurs résultats, ajouter des attributs et des valeurs d'attribut à vos produits.",module,Magento_ConfigurableProduct
"Generate Products","Générer les produits",module,Magento_ConfigurableProduct
"Generate Variations","Générer variations",module,Magento_ConfigurableProduct
"Hidden","Caché",module,Magento_ConfigurableProduct
"Hide from Product Page","Cacher sur la page du produit",module,Magento_ConfigurableProduct
"ID","ID",module,Magento_ConfigurableProduct
"Image","Image",module,Magento_ConfigurableProduct
"Images","Images",module,Magento_ConfigurableProduct
"Incl. Tax","TTC",module,Magento_ConfigurableProduct
"Include","Inclure",module,Magento_ConfigurableProduct
"In Stock","En stock",module,Magento_ConfigurableProduct
"Label","Libellé",module,Magento_ConfigurableProduct
"Name","Nom",module,Magento_ConfigurableProduct
"New attribute set name","Nouveau nom du jeu d'attributs",module,Magento_ConfigurableProduct
"No Image","Aucune image",module,Magento_ConfigurableProduct
"Only implemented for configurable product: %1","Seulement mis en place pour le produit configurable : %1",module,Magento_ConfigurableProduct
"Option attribute ID is not specified.","ID de l'option d'attribut n'est pas spécifié.",module,Magento_ConfigurableProduct
"Option label is not specified.","Le libellé d'option n'est pas spécifié.",module,Magento_ConfigurableProduct
"Options","Options",module,Magento_ConfigurableProduct
"Option values are not specified.","Les valeurs d'option ne sont pas spécifiées.",module,Magento_ConfigurableProduct
"Option with id ""%1"" not found","Option id ""%1"" n'a pas été trouvée",module,Magento_ConfigurableProduct
"Out of Stock","En rupture de stock",module,Magento_ConfigurableProduct
"Please choose image(s)","Choix image(s)",module,Magento_ConfigurableProduct
"Please, fill correct values","Veuillez saisir des valeurs correctes",module,Magento_ConfigurableProduct
"Please fill in the values for the section ","Veuillez remplir les valeurs pour la section ",module,Magento_ConfigurableProduct
"Please, select attribute for the section ","Veuillez sélectionnez l'attribut pour la section ",module,Magento_ConfigurableProduct
"Please, select attribute(s)","Veuillez sélectionner l'attribut(s)",module,Magento_ConfigurableProduct
"Please, select image(s) for your attribute","Veuillez sélectionner l'image(s) pour votre attribut",module,Magento_ConfigurableProduct
"Please specify the product's option(s).","Veuillez spécifier la (les) option(s) de produit.",module,Magento_ConfigurableProduct
"Price","Prix",module,Magento_ConfigurableProduct
"Product already has this option","Le produit possède déjà cette option",module,Magento_ConfigurableProduct
"productFactory is already set","productFactory est déjà défini",module,Magento_ConfigurableProduct
"Product has been already attached","Le produit a déjà été rattaché",module,Magento_ConfigurableProduct
"Products ""%1"" and %2 have the same set of attribute values.","Produits ""%1"" et %2 ont le même jeu de valeurs d'attributs.",module,Magento_ConfigurableProduct
