"All possible rates were fetched, please click on ""Save"" to apply","Tous les taux possibles ont été récupérés, cliquez sur ""Sauvegarder"" pour les appliquer"
"All rates were fetched, please click on ""Save"" to apply","Tous les taux ont été récupérés, cliquez sur ""Sauvegarder"" pour les appliquer"
"All valid rates have been saved.","Tous les taux valides ont été sauvegardés."
"Click ""Save"" to apply the rates we found.","Cliquez sur ""Sauvegarder"" pour appliquer les taux."
"Currency","Devise"
"Currency Rates","Taux de change"
"Currency Symbols","Symboles de devise"
"Import","Importer"
"Import Service","Service d'importation"
"Manage Currency Rates","Gestion des taux des devises"
"Old rate:","Ancien taux :"
"Please correct the input data for %1 => %2 rate","Veuillez corriger les données renseignées pour %1 => taux %2"
"Please correct the input data for ""%1 => %2"" rate.","Veuillez corriger les données renseignées pour %1 => taux %2"
"Please specify a correct Import Service.","Veuillez renseigner un service d'importation valide."
"Reset","Réinitialiser"
"Save Currency Rates","Enregistrer les taux de devises"
"Save Currency Symbols","Enregistrer les symboles de devise"
"Symbol","Symbole"
"System","Système"
"The custom currency symbols were applied.","Symbole de monnaie personnalisée appliqué."
"Use Standard","Utiliser le standard"
"We can't initialize the import model.","Impossible d'initialiser le modèle d'importation."
"We can\'t initialize the import model.","Impossible d'initialiser le modèle d'importation."
"You applied the custom currency symbols.","Vous avez appliqué des symboles de devise personnalisés."
