"CSV","CSV"
"Customer address id column is not specified","La colonne ID de l'adresse client n'est pas spécifiée."
"Excel XML","XML Excel"
"Invalid value in Store column (store does not exists?)","Valeur invalide dans la colonne ""Magasin"" (le magasin n'existe peut-être pas ?)"
"Orphan rows that will be skipped due default row errors","Lignes ophelines qui seront ignorées en raison d'erreurs"
"Please enter a password with a valid length.","Veuillez renseigner un mot de passe avec une longueur valide."
"Please enter a valid email.","Veuillez saisir une adresse email valide."
"Please enter a valid region.","Veuillez renseigner une région valide."
"Please make sure attribute ""%s"" is not empty.","Veuillez vérifier que l'attribut ""%s"" n'est pas vide."
"Please specify an email.","Veuillez spécifier un email."
"Please specify a website.","Veuillez spécifier un site web."
"This email is found more than once in the import file.","Cette adrresse email est présente plusieurs fois dans le fichier d'import."
"We can't find a customer who matches this email and website code.","Aucun client trouvé avec cette combinaison email et site web"
"We can't find that customer address.","Adresse client introuvable."
"We can't find that email and website combination.","Impossible de trouver la combinaison email et site web."
"We found an invalid value in a website column.","Valeur invalide dans la colonne ""website"""
"We found another row with this email, website and address ID combination.","Nous avons trouvé une autre ligne avec cet email, site web et ID adresse."
