"Allowed Currencies","Devises autorisées"
"Allow to Choose State if It is Optional for Country","Afficher l'état si il n'est pas obligatoire"
"Base Currency","Devise de base"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","La devise de base est utilisée pour tous les paiements. Si vous avez plusieurs vues magasin, la portée de la devise de base est définie par la portée des prix catalogue (""Catalogue"" > ""Prix"" > ""Portée des prix catalogue"")."
"Connection Timeout in Seconds","Délai d'attente de connexion en secondes"
"Continue","Continuer"
"Country and Format Type combination should be unique","La combinaison pays et type de format doivent être uniques"
"Currency","Devise"
"Currency Options","Options de devise"
"Currency Setup","Paramétrage des devises"
"Currency Update Warnings","Alertes de mise à jour des devises"
"Default Display Currency","Devise à afficher par défaut"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Enabled","Activé"
"Error Email Recipient","Destinataire de l'email d'erreur"
"Error Email Sender","Expéditeur de l'email d'erreur"
"Error Email Template","Gabarit de l'email d'erreur"
"FATAL ERROR:","ERREUR FATALE :"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"kgs","kgs"
"label","libellé"
"lbs","lbs"
"Please correct the country code: %1.","Veuillez corriger le code pays : %1."
"Please correct the rates received","Veuillez corriger les taux récupérés"
"Please correct the target currency.","Veuillez corriger la devise cible."
"--Please select--","-- Faire un choix --"
"--Please Select--","-- Faire un choix --"
"Please select a region, state or province.","Veuillez sélectionner une région, une état ou une province."
"Please specify the correct Import Service.","Veuillez spécifier un service d'importation valide."
"Requested country is not available.","Le pays demandé n'est pas disponible."
"Scheduled Import Settings","Paramètres d'import programmé"
"Service","Service"
"Start Time","Heure de début"
"State is Required for","L'état est obligatoire pour"
"State Options","Options des états"
"State/Province","État/Province"
"Undefined rate from ""%1-%2"".","Taux indéfini depuis ""%1-%2""."
"WARNING:","ATTENTION :"
"Webservicex","Webservicex"
"We can't initialize the import model.","Impossible d'initialiser le modèle d'importation."
"We can\'t initialize the import model.","Impossible d'initialiser le modèle d'importation."
"We can't retrieve a rate from %1.","Impossible de récurérer le taux pour %1."
"We can\'t retrieve a rate from %1.","Impossible de récurérer le taux pour %1."
"Weight Unit","Unité de Poids"
"Your current currency is: %1.","La devise actuelle est : %1."
"Zip/Postal Code is Optional for","Le code postal est optionnel pour"
