"Add links to your product files here.","Ajouter des liens aux fichiers de votre produit ici.",module,Magento_Downloadable
"Add New Link","Ajouter un nouveau lien",module,Magento_Downloadable
"Add New Row","Ajouter une ligne",module,Magento_Downloadable
"Add product preview files here.","Ajouter un aperçu du produit ici.",module,Magento_Downloadable
"All Files","Tous les fichiers",module,Magento_Downloadable
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Les caractères alphanumériques, les tirets et les caractères de soulignement sont recommandés pour les noms de fichiers. Les caractères impropres seront remplacés par des caractères de soulignement '_'.",module,Magento_Downloadable
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Les caractères alphanumériques, les tirets et les caractères de soulignement sont recommandés pour les noms de fichiers. Les caractères impropres seront remplacés par des caractères de soulignement '_'.",module,Magento_Downloadable
"Attach File or Enter Link","Attacher un fichier ou entrer un lien",module,Magento_Downloadable
"attachment","pièce jointe",module,Magento_Downloadable
"Availability","Disponibilité",module,Magento_Downloadable
"Available","Disponible",module,Magento_Downloadable
"Back","Retour",module,Magento_Downloadable
"Browse Files...","Parcourir les fichiers...",module,Magento_Downloadable
"Canceled","Annulée",module,Magento_Downloadable
"Date","Date",module,Magento_Downloadable
"Default Link Title","Titre de lien par défaut",module,Magento_Downloadable
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut",module,Magento_Downloadable
"Default Sample Title","Titre de l'exemple par défaut",module,Magento_Downloadable
"Delete","Supprimer",module,Magento_Downloadable
"Disable Guest Checkout if Cart Contains Downloadable Items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables",module,Magento_Downloadable
"Discount Amount","Montant de la remise",module,Magento_Downloadable
"download","télécharger",module,Magento_Downloadable
"Downloadable Information","Informations téléchargements",module,Magento_Downloadable
"Downloadable Product Options","Options du produit téléchargeable",module,Magento_Downloadable
"Downloadable Products","Produits Téléchargeables",module,Magento_Downloadable
"Edit","Modifier",module,Magento_Downloadable
"Edit item parameters","Modifier les paramètres de l'article",module,Magento_Downloadable
"Excl. Tax","HT",module,Magento_Downloadable
"File","Fichier",module,Magento_Downloadable
"From:","De :",module,Magento_Downloadable
"Gift Message","Message cadeau",module,Magento_Downloadable
"[GLOBAL]","[GLOBAL]",module,Magento_Downloadable
"Go to <a href=""%1"">My Downloadable Products</a>","Aller à <a href=""%1"">Mes produits téléchargeables</a>",module,Magento_Downloadable
"Guest checkout will only work with shareable.","Le passage de commande en tant qu'invité ne fonctionnera qu'avec les partageables.",module,Magento_Downloadable
"Incl. Tax","TTC",module,Magento_Downloadable
"inline","en ligne",module,Magento_Downloadable
"In stock","En stock",module,Magento_Downloadable
"Invalid download link type.","Le type de lien de téléchargement est invalide.",module,Magento_Downloadable
"Invalid link type.","Type de produit téléchargeable invalide.",module,Magento_Downloadable
"Invalid sample type.","Type d'échantillon invalide.",module,Magento_Downloadable
"Invoiced","Facturé",module,Magento_Downloadable
"Is this downloadable Product?","Est-ce un produit téléchargeable ?",module,Magento_Downloadable
"Link price must have numeric positive value.","Le prix du produit téléchargeable doit avoir une valeur numérique positive.",module,Magento_Downloadable
"Links","Liens",module,Magento_Downloadable
"Links can be purchased separately","Les liens peuvent être achetés séparément",module,Magento_Downloadable
"Link title cannot be empty.","Le titre du lien ne peut pas être vide.",module,Magento_Downloadable
"Link URL must have valid format.","L'URL du produit téléchargeable doit avoir un format valide.",module,Magento_Downloadable
"Max. Downloads","Téléchargements max",module,Magento_Downloadable
"Message:","Message :",module,Magento_Downloadable
"Move to Wishlist","Ajouter à la liste d'envies",module,Magento_Downloadable
"My Downloadable Products","Mes produits téléchargeables",module,Magento_Downloadable
"No","Non",module,Magento_Downloadable
"Number of downloads must be a positive integer.","Le nombre de téléchargements doit être un entier positif.",module,Magento_Downloadable
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre",module,Magento_Downloadable
"Order #","Commande #",module,Magento_Downloadable
"Ordered","Commandé",module,Magento_Downloadable
"Order id cannot be null","L'id de commande ne peut pas être nul",module,Magento_Downloadable
"Order item id cannot be null","L'id d'article de commande ne peut pas être nul",module,Magento_Downloadable
"Order Item Status to Enable Downloads","Statut du produit commandé pour activer le téléchargement",module,Magento_Downloadable
"Out of stock","En rupture de stock",module,Magento_Downloadable
"Pending","En attente",module,Magento_Downloadable
"Please log in to download your product.","Veuillez vous connecter pour pouvoir télécharger votre produit.",module,Magento_Downloadable
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Veuillez vous connecter pour télécharger votre produit <a href=""%1"">%2</a>.",module,Magento_Downloadable
"Please set resource file and link type.","Renseignez le fichier de ressource et le type de lien.",module,Magento_Downloadable
"Please sign in to download your product.","Veuillez vous connecter pour télécharger votre produit.",module,Magento_Downloadable
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Veuillez vous connecter pour télécharger votre produit, ou achetez <a href=""%1"">%2</a>.",module,Magento_Downloadable
"Please specify product link(s).","Spécifiez le ou les liens des produits.",module,Magento_Downloadable
"Price","Prix",module,Magento_Downloadable
"Product Name","Nom du produit",module,Magento_Downloadable
"Product type of the product must be 'downloadable'.","Le type du produit doit être ""téléchargeable"".",module,Magento_Downloadable
"Provided content must be valid base64 encoded data.","Le contenu doit être encodé en base64.",module,Magento_Downloadable
"Provided downloadable link is not related to given product.","Le lien de téléchargement n'est pas relié à ce produit.",module,Magento_Downloadable
"Provided downloadable sample is not related to given product.","L'échantillon n'est pas relié à ce produit.",module,Magento_Downloadable
"Provided file content must be valid base64 encoded data.","Le contenu du fichier doit être encodé en base64.",module,Magento_Downloadable
"Provided file name contains forbidden characters.","Le nom de fichier contient des caractères interdits.",module,Magento_Downloadable
"Provided link information is invalid.","Les informations du lien sont invalides.",module,Magento_Downloadable
"Provided sample information is invalid.","Les informations pour l'échantillon sont invalides.",module,Magento_Downloadable
"Qty","Qté",module,Magento_Downloadable
"Qty Invoiced","Qté facturée",module,Magento_Downloadable
"Refunded","Remboursé",module,Magento_Downloadable
"Remaining Downloads","Téléchargements restants",module,Magento_Downloadable
"Remove item","Supprimer l'élément",module,Magento_Downloadable
"Row Total","Total ligne",module,Magento_Downloadable
"sample","exemple",module,Magento_Downloadable
"Sample","Exemple",module,Magento_Downloadable
"Samples","Exemples",module,Magento_Downloadable
"Sample title cannot be empty.","Le titre de l'échantillon ne peut pas être vide.",module,Magento_Downloadable
"Sample URL must have valid format.","L'URL de l'échantillon doit avoir un format valide.",module,Magento_Downloadable
"See price before order confirmation.","Voir le prix avant la confirmation de la commande.",module,Magento_Downloadable
"Select all","Sélectionner tout",module,Magento_Downloadable
"Shareable","Partageable",module,Magento_Downloadable
"Shipped","Livré",module,Magento_Downloadable
"SKU","SKU",module,Magento_Downloadable
"Something went wrong while getting the requested content.","Une erreur s'est produite lors de la récupération du contenu demandé.",module,Magento_Downloadable
"Something went wrong while saving the file(s).","Une erreur s'est produite lors de l'enregistrement du/des fichier(s).",module,Magento_Downloadable
"Sorry, there was an error getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Veuillez contacter service client de la boutique.",module,Magento_Downloadable
"Sort Order","Ordre de Tri",module,Magento_Downloadable
"Sort order must be a positive integer.","L'ordre de tri doit être un entier positif.",module,Magento_Downloadable
"Sort Variations","Trier les variations",module,Magento_Downloadable
"Start Download","Démarrage du téléchargement",module,Magento_Downloadable
"Status","Statut",module,Magento_Downloadable
"[STORE VIEW]","[VUE MAGASIN]",module,Magento_Downloadable
"Subtotal","Sous-total",module,Magento_Downloadable
"Subtotal Excl. Tax","Sous-total HT",module,Magento_Downloadable
"Subtotal Incl. Tax","Sous-total TTC",module,Magento_Downloadable
"The link has expired.","Le lien a expiré.",module,Magento_Downloadable
"The link is not available.","Le lien n'est pas disponible.",module,Magento_Downloadable
"There is no downloadable link with provided ID.","Aucun lien de téléchargement trouvé avec l'ID fourni.",module,Magento_Downloadable
"There is no downloadable sample with provided ID.","Aucun échantillon téléchargeable pour l'ID demandé.",module,Magento_Downloadable
"Title","Titre",module,Magento_Downloadable
"To:","À:",module,Magento_Downloadable
"Total","Total",module,Magento_Downloadable
"Total incl. tax","Total TTC",module,Magento_Downloadable
"U","U",module,Magento_Downloadable
"Unit Price Excl. Tax","Prix Unitaire HT",module,Magento_Downloadable
"Unit Price Incl. Tax","Prix Unitaire TTC",module,Magento_Downloadable
"Unlimited","Illimité",module,Magento_Downloadable
"Unselect all","Désélectionner tout",module,Magento_Downloadable
"Upload Files","Télécharger les fichiers",module,Magento_Downloadable
"URL","Url",module,Magento_Downloadable
"Use config","Utiliser la config",module,Magento_Downloadable
"Use Content-Disposition","Utiliser la disposition de contenu",module,Magento_Downloadable
"Use Default Value","Utiliser la valeur par défaut",module,Magento_Downloadable
"View Order","Voir la commande",module,Magento_Downloadable
"We can't find the link you requested.","Impossible de trouver le lien demandé.",module,Magento_Downloadable
"We could not detect a size.","Nous ne pouvons pas déterminer le poids du fichier.",module,Magento_Downloadable
"What's this?","Qu'est-ce que c'est ?",module,Magento_Downloadable
"Yes","Oui",module,Magento_Downloadable
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables.",module,Magento_Downloadable
