"%1","%1",module,Magento_Email
"<pre> %1 </pre>","<pre> %1 </pre>",module,Magento_Email
"Action","Action",module,Magento_Email
"Added","Ajouté",module,Magento_Email
"Add New Template","Ajouter un nouveau gabarit",module,Magento_Email
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Types de fichiers autorisés : jpg, jpeg, gif, png. Pour optimiser le logo pour des écrans haute résolution, télécharger une image 3 fois plus grande que la taille normale, puis spécifier les dimensions de la taille normale dans les champs largeur/hauteur ci-dessous.",module,Magento_Email
"An error occurred. The email template can not be opened for preview.","Une erreur s'est produite. Le gabarit d'email ne peut pas être ouvert pour aperçu.",module,Magento_Email
"An error occurred while deleting email template data. Please review log and try again.","Erreur lors de la suppression des données de gabarit d'email. Consultez les logs.",module,Magento_Email
"Area is already set","La zone est déjà initialisée",module,Magento_Email
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?",module,Magento_Email
"Are you sure that you want to strip tags?","Êtes-vous sûr(e) de vouloir supprimer les tags ?",module,Magento_Email
"Are you sure you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?",module,Magento_Email
"Are you sure you want to strip tags?","Êtes-vous sûr(e) de vouloir supprimer les balises HTML ?",module,Magento_Email
"Back","Retour",module,Magento_Email
"Base Secure URL","URL de base sécurisée",module,Magento_Email
"Base Unsecure URL","URL de base non sécurisée",module,Magento_Email
"City","Ville",module,Magento_Email
"Contents of %s could not be loaded or is empty","Le contenu de %s ne peut pas être chargé ou est vide",module,Magento_Email
"Convert to Plain Text","Convertir en texte simple",module,Magento_Email
"Country","Pays",module,Magento_Email
"CSS inlining error:","Erreur CSS ligne:",module,Magento_Email
"Currently Used For","Actuellement utilisé pour",module,Magento_Email
"Custom1 Contact Email","Email du contact personnalisé 1",module,Magento_Email
"Custom1 Contact Name","Nom du contact personnalisé 1",module,Magento_Email
"Custom2 Contact Email","Email du contact personnalisé 2",module,Magento_Email
"Custom2 Contact Name","Nom du contact personnalisé 2",module,Magento_Email
"Default Config","Configuration par défaut",module,Magento_Email
"Delete Template","Supprimer le gabarit",module,Magento_Email
"Design config must have area and store.","La configuration du design doit avoir une zone et une boutique.",module,Magento_Email
"Design params must be set before calling this method","Les paramètres du design doivent être initialisés avant d'appeler cette méthode",module,Magento_Email
"Duplicate Of Template Name","Duplication du nom de gabarit",module,Magento_Email
"Edit Email Template","Modifier le gabarit de l'email",module,Magento_Email
