"Auto-generate a Key","Générer automatiquement une clé"
"Change Encryption Key","Changer la clé de chiffrement"
"Deployment configuration file is not writable.","Le fichier de configuration du déploiement n'est pas accessible en écriture."
"Encryption Key","Clé de chiffrement"
"Encryption Key Change","Changement de clé de cryptage"
"File %1 is not writeable.","Le fichier %1 n'est pas accessible en écriture."
"ID","ID"
"Manage Encryption Key","Gérer la clé de chiffrement"
"New Encryption Key","Nouvelle clé de chiffrement"
"New Key","Nouvelle clé"
"No","Non"
"Not supported cipher version","Version de cipher non supportée"
"Please enter an encryption key.","Veuillez renseigner une clé de chiffrement."
"The encryption key format is invalid.","Format de clé de chiffrement invalide."
"The encryption key has been changed.","La clé de chiffrement a été modifiée."
"The encryption key is used to protect passwords and other sensitive data.","La clé de chiffrement est utilisée pour protéger les mots de passe et autres données sensibles."
"The generated key will be displayed after changing.","La clé générée sera affichée après avoir été changée."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Ceci est votre nouvelle clé de chiffrement : %1. Notez-la et conservez-la en lieu sûr !"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Ceci est votre nouvelle clé de chiffrement : <span style=""font-family: monospace;"">%1</span>. Notez-la et conservez-la en lieu sûr !"
"To enable a key change this file must be writable: %1.","Pour activer le changement ce fichier doit être accessible en écriture : %1."
"Username","Nom d'utilisateur"
"Yes","Oui"
