"Add Products to Group","Ajouter des produits au groupe"
"Add Selected Products","Ajouter les produits sélectionnés"
"Associated Products","Produits associés"
"AttributeSetText","AttributeSetText"
"Availability:","Disponibilité :"
"Availability","Disponibilité"
"Cancel","Annuler"
"Cannot process the item.","Impossible de traiter l'élément."
"Default Qty","Qté par défaut"
"Default Quantity","Quantité par défaut"
"Excl. Tax:","HT :"
"Grouped Product Image","Image produit groupé"
"Grouped product items","Articles du produit groupé"
"Grouped Products","Produits groupés"
"ID","ID"
"Incl. Tax:","TTC :"
"In stock","En stock"
"Name","Nom"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"Out of stock","En rupture de stock"
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Price","Prix"
"Product Name","Nom du produit"
"Qty","Qté"
"SKU","SKU"
"Starting at","À partir de"
"Starting at:","À partir de :"
"There are no grouped products.","Il n'y a pas de produits groupés."
"We cannot process the item.","Impossible de traiter cet article."
