"'%1' file extension is not supported","'%1' extension de fichier non supportée",module,Magento_ImportExport
"Adapter must be an instance of MagentoImportExportModelImportAbstractSource","Adapter doit être une instance de \Magento\ImportExport\Model\Import\AbstractSource",module,Magento_ImportExport
"Adapter object must be an instance of %1","L'objet de l'Adapter doit être une instance de %1",module,Magento_ImportExport
"Additional data","Donnée additionnelle",module,Magento_ImportExport
"Add/Update","Ajouter/Mettre à jour",module,Magento_ImportExport
"Add/Update Complex Data","Ajouter/Mettre à jour des données complexes",module,Magento_ImportExport
"Allowed Errors Count","Nombre d'erreurs admises",module,Magento_ImportExport
"Attribute Code","Code de l'attribut",module,Magento_ImportExport
"Attribute does not has options, so filtering is impossible","Attribut sans option. Filtrage impossible",module,Magento_ImportExport
"Attribute Label","Libellé de l'attribut",module,Magento_ImportExport
"Begin data validation","Commencer la validation des données",module,Magento_ImportExport
"Begin export of %1","Commencez l'exportation de %1",module,Magento_ImportExport
"Begin import of ""%1"" with ""%2"" behavior","Commencez l'importation de ""%1"" avec ""%2"" en comportement",module,Magento_ImportExport
"Cannot determine attribute filter type","Impossible de déterminer le type de filtre attribut",module,Magento_ImportExport
"Cannot find required columns: %1","Impossible de trouver la colonne requise : %1",module,Magento_ImportExport
"Cannot get autoincrement value","Impossible d'obtenir la valeur d'incrémentation automatique",module,Magento_ImportExport
"Check Data","Vérifier les données",module,Magento_ImportExport
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Tranches vérifiées : %1, entités vérifiées : %2, lignes invalides : %3, total erreurs : %4",module,Magento_ImportExport
"Column names: ""%1"" are invalid","Noms de colonne : ""%1"" invalides",module,Magento_ImportExport
"Columns number: ""%1"" have empty headers","Colonne numéro : ""%1"" possède un en-tête vide",module,Magento_ImportExport
"Continue","Continuer",module,Magento_ImportExport
"Created: %1, Updated: %2, Deleted: %3","Crée : %1, Mis à jour : %2, Supprimé : %3",module,Magento_ImportExport
"Custom Action","Action personnalisée",module,Magento_ImportExport
"Data is invalid or file is not uploaded","Les données sont invalides ou le fichier n'a pas été chargé",module,Magento_ImportExport
"Data validation is failed. Please fix errors and re-upload the file..","La validation des données a échoué. Veuillez corriger les erreurs et recharger le fichier.",module,Magento_ImportExport
"Data validation is failed. Please fix errors and re-upload the file.","La validation des données a échoué. Veuillez corriger les erreurs et recharger le fichier.",module,Magento_ImportExport
"Delete","Supprimer",module,Magento_ImportExport
"Delete Entities","Effacer les entités",module,Magento_ImportExport
"Destination directory is not writable","Le répertoire de destination n'a pas les droits en écriture",module,Magento_ImportExport
"Destination file is not writable","Le fichier de destination n'a pas les droits en écriture",module,Magento_ImportExport
"Destination file path must be a string","Le chemin du fichier de destination doit être une chaîne de caractères",module,Magento_ImportExport
"Done import data validation","Validation des données terminée",module,Magento_ImportExport
"Download","Télécharger",module,Magento_ImportExport
"Download full report","Téléchargez le rapport complet",module,Magento_ImportExport
"Download Sample File","Télécharger le fichier d'exemple",module,Magento_ImportExport
"Duplicate Unique Attribute for '%s'","Doublon attribut unique '%s'",module,Magento_ImportExport
