"Actual Price","Prix actuel",module,Magento_Msrp
"Add to Cart","Ajouter au panier",module,Magento_Msrp
"Before Order Confirmation","Avant la confirmation de commande",module,Magento_Msrp
"Click for price","Cliquez pour afficher le prix",module,Magento_Msrp
"Default Popup Text Message","Texte du message de popup par défaut",module,Magento_Msrp
"Default ""What's This"" Text Message","Texte par défaut du message ""Qu'est-ce que c'est""",module,Magento_Msrp
"Display Actual Price","Afficher les vrais prix",module,Magento_Msrp
"Enable MAP","Activer le prix minimum affiché",module,Magento_Msrp
"Enabling MAP by default will hide all product prices on Storefront.","Activer MAP par défaut masquera tous les prix produits.",module,Magento_Msrp
"In Cart","Dans le panier",module,Magento_Msrp
"Minimum Advertised Price","Prix ​​minimum affiché",module,Magento_Msrp
"On Gesture","Au geste",module,Magento_Msrp
"Order total will be displayed before you submit the order","Le total de la commande s'affichera avant la confirmation de commande",module,Magento_Msrp
"Price","Prix",module,Magento_Msrp
"See price before order confirmation.","Voir le prix avant la confirmation de la commande.",module,Magento_Msrp
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours l'enlever plus tard.",module,Magento_Msrp
"Use config","Utiliser la config",module,Magento_Msrp
"Warning!","Attention !",module,Magento_Msrp
"What's this?","Qu'est-ce que c'est ?",module,Magento_Msrp
"What's this?","Qu'est-ce que c'est ?",module,Magento_Msrp
"You will see the order total before you submit the order.","Vous verrez le total de la commande avant de valider la commande.",module,Magento_Msrp
