"Action","Action"
"Added","Ajouté"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file d'attente"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"An error occurred while deleting this template.","Erreur lors de la suppression de ce gabarit."
"An error occurred while saving this template.","Erreur lors de la sauvegarde de ce gabarit."
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous sûr(e) de vouloir supprimer tous les tags ?"
"Are you sure you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?"
"A total of %1 record(s) were updated.","Un total de %1 enregistrement(s) mis à jour."
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Choose Store View:","Choisir la vue magasin :"
"Confirmation Email Sender","Expéditeur de l'email de confirmation"
"Confirmation Email Template","Gabarit de l'email de confirmation"
"Convert to Plain Text","Convertir en texte simple"
" Copy"," Copie"
"Create Newsletter Template","Créer un nouveau gabarit de lettre d'information"
"CSV","CSV"
"Customer","Client"
"Customer First Name","Prénom du client"
"Customer Last Name","Nom du client"
"Delete","Supprimer"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate template code","Code de gabarit dupliqué"
"Edit Newsletter","Modifier la lettre d'information"
"Edit Newsletter Template","Modifier le gabarit de la lettre d'information"
"Edit Queue","Modifier la file d'attente"
"Edit Template","Modifier le gabarit"
"Email","Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Enter your email address","Saisissez votre email"
"Error Code","Code erreur"
"Error Text","Erreur texte"
"Excel XML","XML Excel"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Invité"
"ID","ID"
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit de lettre d'information"
"Newsletter","Lettre d'information"
"Newsletter Message Preview","Prévisualisation du message de la lettre d'information"
"Newsletter Problem Reports","Rapports des problèmes de lettre d'information"
"Newsletter Problems Report","Rapport des problèmes de lettre d'information"
"Newsletter Queue","File d'attente lettre d'information"
"Newsletter Section","Section newsletter"
"Newsletter Styles","Styles de lettre d'information"
"Newsletter Subscribers","Abonnés à la lettre d'information"
"Newsletter Subscription","Abonnement à la lettre d'information"
"Newsletter Subscriptions","Abonnements aux lettres d'information"
"Newsletter Template","Gabarit de lettre d'information"
"Newsletter Templates","Gabarits lettre d'information"
"New Template","Nouveau gabarit"
"Not Activated","Non activé"
"No Templates Found","Aucun gabarit trouvé"
"Not Sent","Non envoyé"
"Pause","Pause"
"Paused","En Pause"
"Please correct the newsletter template and try again.","Veuillez corriger le gabarit de la lettre d'information et essayez à nouveau."
"Please enter a new template name.","Veuillez renseigner un nom de gabarit."
"Please enter a valid email address.","Saisissez un email valide."
"Please enter new template name.","Saisissez un nom de gabarit."
"Please select one or more subscribers.","Veuillez sélectionner un ou plusieurs abonnés."
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Processed","Terminé"
"Queue Date Start","Date de démarrage de la file"
"Queue End","Fin de la file"
"Queue Information","Informations de file"
"Queue Newsletter","File d'attente lettre d'information"
"Queue Newsletter...","File d'attente lettre d'information..."
"Queue Start","Début de la file"
"Queue Start Date","Démarrer la file d'attente"
"Queue Subject","Sujet de la file"
"Recipients","Destinataires"
"Reset","Réinitialiser"
"Resume","Reprendre"
"Return HTML Version","Revenir à la version HTML"
"Save and Resume","Enregistrer et poursuivre"
"Save As","Enregistrer sous"
"Save Newsletter","Enregistrer la lettre d'information"
"Save Template","Enregistrer le gabarit"
"Sender","Expéditeur"
"Sender Email","Email de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Sign Up for Our Newsletter:","Inscription à notre lettre d'information :"
"Something went wrong while saving this template.","Une erreur s'est produite lors de l'enregistrement de ce gabarit."
"Something went wrong while saving your subscription.","Une erreur s'est produite lors de l'enregistrement de cet abonnement."
"Something went wrong while unsubscribing you.","Une erreur s'est produite lors de la désinscription."
"Something went wrong with the subscription.","Une erreur s'est produite lors de la souscription à l'abonnement."
"Something went wrong with the un-subscription.","Une erreur s'est produite lors de la désinscription."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Désolé, les abonnements pour les invités sont désactivés. Veuillez vous <a href=""%1"">sauvegarder</a>."
