"%1 class doesn't implement MagentoPaymentModelMethodInterface","%1 n'implemente pas l'interface MagentoPaymentModelMethodInterface",module,Magento_Payment
"All Allowed Countries","Tous les pays autorisés",module,Magento_Payment
"Card Verification Number","Numéro de cryptogramme",module,Magento_Payment
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte",module,Magento_Payment
"Command %1 does not exist.","La commande %1 n'existe pas.",module,Magento_Payment
"Credit Card Information","Information de carte bancaire",module,Magento_Payment
"Credit Card Number","Numéro de carte de crédit",module,Magento_Payment
"Credit card number mismatch with credit card type.","Le numéro de carte bancaire ne correspond pas au type de carte bancaire.",module,Magento_Payment
"Credit Card Type","Type de carte de crédit",module,Magento_Payment
"Credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement.",module,Magento_Payment
"Discount","Remise",module,Magento_Payment
"Expiration Date","Date d'expiration",module,Magento_Payment
"Invalid Credit Card Number","Numéro de carte bancaire invalide",module,Magento_Payment
" is not available. You still can process offline actions.","   n'est pas disponible. Vous pourrez toujours effectuer ces actions hors ligne.",module,Magento_Payment
"Issue Number","Numéro de problème",module,Magento_Payment
"Month","Mois",module,Magento_Payment
"N/A","N/A",module,Magento_Payment
"No","Non",module,Magento_Payment
"Payment Methods","Modes de paiement",module,Magento_Payment
"Please enter a valid credit card expiration date.","Veuillez vérifier la date d'expiration de la carte bancaire.",module,Magento_Payment
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide.",module,Magento_Payment
"Please Select","Faire un choix",module,Magento_Payment
"--Please Select--","-- Faire un choix --",module,Magento_Payment
"Shipping","Livraison",module,Magento_Payment
"Specific Countries","Certains pays",module,Magento_Payment
"Start Date","Date de début",module,Magento_Payment
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro",module,Magento_Payment
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Seulement",module,Magento_Payment
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro",module,Magento_Payment
"The authorize action is not available.","L'action d'autorisation n'est pas disponible.",module,Magento_Payment
"The capture action is not available.","L'action de capture n'est pas disponible.",module,Magento_Payment
"The credit card number doesn't match the credit card type.","Le numéro de la carte bancaire ne correspond pas à son type.",module,Magento_Payment
"The order action is not available.","L'action de commande n'est pas disponible.",module,Magento_Payment
"The payment disallows storing objects.","Cette méthode de paiement interdit le stockage d'objets.",module,Magento_Payment
"The payment method you requested is not available.","La méthode de paiement demandée n'est pas disponible.",module,Magento_Payment
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible.",module,Magento_Payment
"The refund action is not available.","L'action de remboursement n'est pas disponible.",module,Magento_Payment
"The void action is not available.","L'action d'annulation n'est pas disponible.",module,Magento_Payment
"This credit card type is not allowed for this payment method.","Ce type de carte de crédit n'est pas autorisé pour ce mode de paiement.",module,Magento_Payment
"Validator for field %1 does not exist.","Le validateur pour le champ %1 n'existe pas.",module,Magento_Payment
"Void action is not available.","L'action 'annuler' n'est pas disponible.",module,Magento_Payment
"We cannot retrieve the payment info model object.","Impossible de retrouver le modèle de l'objet sur les infos de paiement.",module,Magento_Payment
"We cannot retrieve the payment information object instance.","Impossible de retrouver l’instance de l'objet contenant l'information de paiement.",module,Magento_Payment
"We cannot retrieve the payment method code.","Impossible de retrouver le code de la méthode de paiement.",module,Magento_Payment
"We cannot retrieve the payment method model object.","Impossible de retrouver le modèle de l'objet de la méthode de paiement.",module,Magento_Payment
"We cannot retrieve the transparent payment method model object.","Impossible de retrouver le modèle de l'objet de la méthode de paiement transparente.",module,Magento_Payment
"We found an incorrect credit card expiration date.","Nous avons trouvé une date d'expiration de carte de crédit incorrecte.",module,Magento_Payment
"We'll ask for your payment details before you place an order.","Vous devrez renseigner vos informations de paiement avant de confirmer votre commande.",module,Magento_Payment
"What is this?","Qu'est-ce que c'est ?",module,Magento_Payment
"Wrong gateway response format.","Mauvais format de réponse de la passerelle.",module,Magento_Payment
"Year","Année",module,Magento_Payment
"Yes","Oui",module,Magento_Payment
"You can't use the payment type you selected to make payments to the billing country.","Vous ne pouvez pas utiliser la méthode de paiement choisie pour ce pays de facturation.",module,Magento_Payment
"You can't use the payment type you selected to make payments to the billing country.","Vous ne pouvez pas utiliser la méthode de paiement choisie pour ce pays de facturation.",module,Magento_Payment
