"Abandoned carts","Paniers Abandonnés",module,Magento_Reports
"Abandoned Carts","Paniers Abandonnés",module,Magento_Reports
"Action","Action",module,Magento_Reports
"Added","Ajouté",module,Magento_Reports
"Add to Cart","Ajouter au panier",module,Magento_Reports
"Add to Compare","Ajouter au comparateur",module,Magento_Reports
"Add to Wishlist","Ajouter à ma liste d'envie",module,Magento_Reports
"Add to Wish List","Ajouter à ma liste d'envie",module,Magento_Reports
"All Websites","Tous les sites web",module,Magento_Reports
"An error occurred while showing the product views report. Please review the log and try again.","Une erreur s'est produite lors de l'affichage du rapport des produits vus. Veuillez vérifier le journal des logs et essayez à nouveau.",module,Magento_Reports
"Applied Coupon","Coupons utilisés",module,Magento_Reports
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Êtes-vous sûr(e) que vous voulez rafraîchir les statistiques ? Cette opération peut ralentir la navigation de vos clients.",module,Magento_Reports
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Êtes-vous sûr(e) de vouloir rafraîchir les statistiques en temps réel ? Cela peut impacter les performances pendant la durée du rafraichissement.",module,Magento_Reports
"Are you sure you want to refresh statistics for last day?","Êtes-vous sûr(e) de vouloir rafraîchir les statistiques ?",module,Magento_Reports
"Are you sure you want to refresh statistics for the last day?","Êtes-vous sûr(e) de vouloir rafraîchir les statistiques ?",module,Magento_Reports
"Average","Moyen",module,Magento_Reports
"Average (Approved)","Moyenne (approuvé)",module,Magento_Reports
"Bestseller","Meilleure vente",module,Magento_Reports
"Bestsellers","Meilleures ventes",module,Magento_Reports
"Best Sellers Report","Rapport des meilleures ventes",module,Magento_Reports
"By Customers","Par client",module,Magento_Reports
"By Products","Par produits",module,Magento_Reports
"Canceled","Annulée",module,Magento_Reports
"Carrier/Method","Transporteur/Méthode",module,Magento_Reports
"Carts","Paniers",module,Magento_Reports
"Compared Product Images Only Template","Gabarit des images des produits comparés uniquement",module,Magento_Reports
"Compared Product Names Only Template","Gabarit des noms des produits comparés uniquement",module,Magento_Reports
"Compared Products Grid Template","Gabarit de grille de produits comparés",module,Magento_Reports
"Compared Products Images and Names Template","Gabarit des images et noms des produits comparés",module,Magento_Reports
"Compared Products List Template","Gabarit de liste de produits comparés",module,Magento_Reports
"Coupon Code","Code du bon de réduction",module,Magento_Reports
"Coupons","Bons de Réduction",module,Magento_Reports
"Coupons Report","Rapport des bons de réduction",module,Magento_Reports
"Coupons Usage Report","Rapport des utilisations des bons de réduction",module,Magento_Reports
"Created","Créé",module,Magento_Reports
"CSV","CSV",module,Magento_Reports
"Current Month Starts","Le mois en cours commence le",module,Magento_Reports
"Customer","Client",module,Magento_Reports
"Customer Reviews Report","Rapport des avis clients",module,Magento_Reports
"Customers","Clients",module,Magento_Reports
"Customers by Number of Orders","Clients par nombre de commandes",module,Magento_Reports
"Customers by number of orders","Clients par nombre de commandes",module,Magento_Reports
"Customers by Orders Total","Clients par montant de commande",module,Magento_Reports
"Customer Shopping Carts","Paniers du client",module,Magento_Reports
"Customers Report","Rapport clients",module,Magento_Reports
"Customers Reviews","Clients ayant commenté",module,Magento_Reports
"Customers that have Wish List: %1","Les clients possédant une liste d'envies : %1",module,Magento_Reports
"Customers that have wish list: %1","Les clients possédant une liste d'envies : %1",module,Magento_Reports
"Dashboard","Tableau de bord",module,Magento_Reports
"Date Used","Date utilisée",module,Magento_Reports
"Day","Jour",module,Magento_Reports
"Default Recently Compared Products Count","Nombre de produits récemment comparés par défaut",module,Magento_Reports
"Default Recently Viewed Products Count","Nombre de produits récemment consultés par défaut",module,Magento_Reports
"Description","Description",module,Magento_Reports
"Detail","Détail",module,Magento_Reports
"Details","Détails",module,Magento_Reports
"Discount","Remise",module,Magento_Reports
"Downloads","Téléchargements",module,Magento_Reports
"Downloads Report","Rapport des téléchargements",module,Magento_Reports
"Email","Email",module,Magento_Reports
