"%1 Review(s)","%1 avis",module,Magento_Review
"%1 %2","%1 %2",module,Magento_Review
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>",module,Magento_Review
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>",module,Magento_Review
"Action","Action",module,Magento_Review
"Actions","Actions",module,Magento_Review
"Active","Actif",module,Magento_Review
"Add New Rating","Ajouter une notation",module,Magento_Review
"Add New Review","Ajouter nouveau commentaire",module,Magento_Review
"Add Your Review","Ajoutez votre commentaire",module,Magento_Review
"Administrator","Administrateur",module,Magento_Review
"Allow Guests to Write Reviews","Autoriser les invités à écrire des commentaires",module,Magento_Review
"All Reviews","Tous les avis",module,Magento_Review
"All Reviews of Customer `%1`","Tous les avis du client '%1'",module,Magento_Review
"All Reviews of Product `%1`","Tous les avis pour le produit '%1'",module,Magento_Review
"An error occurred while deleting record(s).","Une erreur est survenue pendant la suppression des enregistrements.",module,Magento_Review
"An error occurred while saving review.","Une erreur est survenue lors de l'enregistrement du commentaire.",module,Magento_Review
"An error occurred while updating the selected review(s).","Erreur lors de la mise à jour des commentaires sélectionnés.",module,Magento_Review
"Approved","Approuvé",module,Magento_Review
"Are you sure?","Êtes-vous sûr(e) ?",module,Magento_Review
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir faire cela ?",module,Magento_Review
"Assigned Options","Options attribuées",module,Magento_Review
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrement(s) supprimé(s).",module,Magento_Review
"A total of %1 record(s) have been updated.","Un total de %1 enregistrement(s) mis à jour.",module,Magento_Review
"Author","Auteur",module,Magento_Review
"Average Customer Rating","Note moyenne des clients",module,Magento_Review
"Average Customer Rating:","Note moyenne des clients :",module,Magento_Review
"Back","Retour",module,Magento_Review
"Back to Main Product Info","Retour à la fiche du produit",module,Magento_Review
"Back to My Reviews","Retour à mes avis",module,Magento_Review
"Back to Product Reviews","Retour aux avis produit",module,Magento_Review
"Be the first to review this product","Soyez le premier à commenter ce produit",module,Magento_Review
"Cancel","Annuler",module,Magento_Review
"Click <a href=""%1"">here</a> to see the review.","Cliquez <a href=""%1"">ici</a> pour voir l'avis.",module,Magento_Review
"Created","Créé",module,Magento_Review
"Customer","Client",module,Magento_Review
"Customer Reviews","Avis des clients",module,Magento_Review
"Default Value","Valeur par défaut",module,Magento_Review
"Delete","Supprimer",module,Magento_Review
"Delete Rating","Supprimer l'évaluation",module,Magento_Review
"Delete Review","Supprimer l'avis",module,Magento_Review
"Description","Description",module,Magento_Review
"Detailed Rating","Notation détaillée",module,Magento_Review
