"%1 - Discounts and Coupons","%1 - remises et coupons"
"%1 has reached a quantity of %2.","%1 ayant atteint la quantité de %2."
"%1 - Special Products","%1 - produits en promotion"
"%1's Wishlist","Liste d'envies de %1"
"Catalog","Catalogue"
"Category Feeds","Flux de la catégorie"
"Click for price","Cliquez pour afficher le prix"
"Click <a href=""%1"">here</a> to view the review.","Cliquez <a href=""%1"">ici</a> pour voir l'avis."
"Comment: %1<br/>","Commentaire : %1<br>"
"Comment:","Commentaire :"
"Coupons/Discounts","Coupons/Réductions"
"Current Status: %1<br/>","Statut actuel: %1<br/>"
"Customer Name: %1","Nom du client : %1"
"Customer Order Status Notification","Notification de statut de commande client"
"Details for %1 #%2","Détails pour %1 #%2"
"Discount (%1)","Remise (%1)"
"Discount","Remise"
"Enable RSS","Activer le flux RSS"
"Error in processing xml. %1","Erreur traitement xml. %1"
"Feed","Flux"
"From:","De :"
"Get Feed","Récupérer le Flux"
"Gift Message","Message cadeau"
"Grand Total","Montant global"
"Low Stock Products","Produits ayant un faible niveau de stock"
"Message:","Message :"
"Miscellaneous Feeds","Flux divers"
"New Orders","Nouvelles commandes"
"New Products","Nouveaux produits"
"New Products from %1","Nouveaux produits de %1"
"Notified Date: %1<br/>","Date de notification : %1<br>"
"Order #%1 created at %2","Commande #%1 créée le %2"
"Order # %1 Notification(s)","Notification(s) commande #%1"
"Page not found.","Page introuvable."
"Pending product review(s)","Commentaire(s) de produit en attente"
"Price: %1","Prix : %1"
"Product: ""%1"" reviewed by: %2","Produits : ""%1"" avis de : %2"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produit : <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Purchased From: %1","Commandé sur : %1"
"Review: %1 <br/>","Avis : %1 <br>"
"Rss Config","Configuration RSS"
"RSS Feeds","Flux RSS"
"Shipping &amp; Handling","Frais de port"
"Special Expires On: %1","Prix spécial jusqu'au : %1"
"Special Price: %1","Prix spécial : %1"
"Special Products","Produits spéciaux"
"Store: %1 <br/>","Boutique : %1 <br>"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Subtotal","Sous-total"
"Summary of review: %1 <br/>","Résumé de l'avis : %1 <br>"
"Tax","Taxe"
"There are no Rss Feeds.","Aucun flux RSS."
"There was no RSS feed enabled.","Aucun flux RSS activé."
"To:","À:"
"Top Level Category","Catégorie de niveau supérieur"
"Total: %1<br/>","Total : %1<br>"
"We cannot retrieve the wish list.","Impossible de récupérer la liste d'envies."
"Wishlist","Liste d'envies"
