"Add","Ajouter",module,Magento_Rule
"ALL","TOUS",module,Magento_Rule
"ANY","TOUT",module,Magento_Rule
"Apply","Appliquer",module,Magento_Rule
"Attribute Set","Jeu d'attributs",module,Magento_Rule
"by","sur",module,Magento_Rule
"Category","Catégorie",module,Magento_Rule
"Conditions Combination","Combinaison de conditions",module,Magento_Rule
"contains","contient",module,Magento_Rule
"Customer Groups must be specified.","Les groupes clients doivent être spécifiés.",module,Magento_Rule
"does not contain","ne contient pas",module,Magento_Rule
"End Date must follow Start Date.","La date de fin doit être supérieure à la date de début.",module,Magento_Rule
"equals or greater than","est supérieur(e) ou égal(e) à",module,Magento_Rule
"equals or less than","est inférieur(e) ou égal(e) à",module,Magento_Rule
"FALSE","FAUSSES",module,Magento_Rule
"greater than","est supérieur(e) à",module,Magento_Rule
"If %1 of these conditions are %2:","Si %1 de ces conditions sont %2 :",module,Magento_Rule
"Invalid discount amount.","Montant de remise invalide.",module,Magento_Rule
"is","est égal(e) à",module,Magento_Rule
"is not","est différent(e) de",module,Magento_Rule
"is not one of","ne fait pas partie de",module,Magento_Rule
"is one of","fait partie de",module,Magento_Rule
"less than","est inférieur(e) à",module,Magento_Rule
"Open Chooser","Ouvrir le sélecteur",module,Magento_Rule
"Perform following actions","Effectuer les actions suivantes",module,Magento_Rule
"Please choose a condition to add.","Veuillez choisir une condition à ajouter.",module,Magento_Rule
"Please choose an action to add.","Veuillez choisir une action à ajouter.",module,Magento_Rule
"Please choose a valid discount amount.","Veuillez spécifier une valeur de remise valide.",module,Magento_Rule
"Please specify a website.","Veuillez spécifier un site web.",module,Magento_Rule
"Please specify Customer Groups.","Veuillez spécifier les groupes de client.",module,Magento_Rule
"Please wait, loading...","Veuillez patienter, chargement en cours...",module,Magento_Rule
"Remove","Supprimer",module,Magento_Rule
"There is no information about associated entity type ""%1"".","Il n'y a pas d'information sur le type d'entité associée ""%1"".",module,Magento_Rule
"This won't take long . . .","Ce ne sera pas long. . .",module,Magento_Rule
"to","à",module,Magento_Rule
"TRUE","VRAIES",module,Magento_Rule
"Unknown condition operator","Opérateur de condition inconnu",module,Magento_Rule
"Websites must be specified.","Les sites web doivent être spécifiés.",module,Magento_Rule
