"%1","%1",module,Magento_Sales
"""%1"" coupon code is not valid.","Le bon de réduction ""%1"" n'est pas valide.",module,Magento_Sales
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Le bon de réduction ""%1"" n'a pas été appliqué. Ne pas appliquer la réduction sur les articles sélectionnés",module,Magento_Sales
"%1 for %2","%1 pour %2",module,Magento_Sales
"%1 order(s) cannot be canceled.","%1 commandes ne peuvent être annulées.",module,Magento_Sales
"%1 order(s) have been released from on hold status.","%1 commandes ont bien été débloquées.",module,Magento_Sales
"%1 order(s) were not put on hold.","%1 commandes n'ont pas été bloquées.",module,Magento_Sales
"%1 order(s) were not released from on hold status.","%1 commandes n'ont pas été bloquées.",module,Magento_Sales
"%1 with %2 discount each","%1 avec %2 de reduction chacun",module,Magento_Sales
"%1 / %2 rate:","Taux %1 / %2:",module,Magento_Sales
"About Your Invoice","À propos de votre facture",module,Magento_Sales
"About Your Order","À propos de votre commande",module,Magento_Sales
"About Your Refund","À propos de votre remboursement",module,Magento_Sales
"Accept Payment","Acceptez le paiement",module,Magento_Sales
"Account Information","Informations du Compte",module,Magento_Sales
"Action","Action",module,Magento_Sales
"Actions","Actions",module,Magento_Sales
"Add New Address","Ajouter une Nouvelle Adresse",module,Magento_Sales
"Add Order Comments","Ajouter des commentaires de commande",module,Magento_Sales
"Add Products","Ajouter des produits",module,Magento_Sales
"Address","Adresse",module,Magento_Sales
"Address Information","Informations d'adresse",module,Magento_Sales
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande",module,Magento_Sales
"Add to Cart","Ajouter au panier",module,Magento_Sales
"Add To Order","Ajouter à la Commande",module,Magento_Sales
"Adjustment Fee","Frais de dossier",module,Magento_Sales
"Adjustment Refund","Remboursement des frais de dossier",module,Magento_Sales
"A hold action is not available.","L'action de blocage n'est pas disponible.",module,Magento_Sales
"Allow Reorder","Autoriser le renouvellement de commande",module,Magento_Sales
"All Store Views","Toutes les Vues Magasin",module,Magento_Sales
"Amount: %1.","Montant: %1.",module,Magento_Sales
"Amount","Montant",module,Magento_Sales
"An amount of %1 will be captured after being approved at the payment gateway.","Un montant de %1 sera capturé après l’approbation de la passerelle de paiement.",module,Magento_Sales
"Anchor Custom Title","Présenter un titre personnalisé",module,Magento_Sales
"An error occurred while assigning order status. Status has not been assigned.","Erreur lors de l'assignation du statut de commande. Le statut n'a pas pu être assigné.",module,Magento_Sales
"An item object is not specified.","Un article n'est pas spécifié.",module,Magento_Sales
"An order with subscription items was registered.","Une commande avec abonnement à été enregistrée.",module,Magento_Sales
"Any","TOUT",module,Magento_Sales
"A payment method must be specified.","Une méthode de paiement doit être spécifiée.",module,Magento_Sales
"A PDF object is not specified.","L'objet PDF n'est pas spécifié.",module,Magento_Sales
"A PDF page object is not specified.","La Page PDF n'est pas spécifié.",module,Magento_Sales
"Append Comments","Ajouter les commentaires",module,Magento_Sales
"Applies to Any of the Specified Order Statuses","S'applique à tous les statuts de commande spécifiés",module,Magento_Sales
"Applies to Any of the Specified Order Statuses except canceled orders","Applique à tous les statuts de commande spécifiés hormis les commandes annulées",module,Magento_Sales
"Apply","Appliquer",module,Magento_Sales
"Apply Coupon Code","Appliquer un Bon de Réduction",module,Magento_Sales
"Approved the payment online.","Approuver le paiement en ligne.",module,Magento_Sales
"Are you sure? This order will be canceled and a new one will be created instead.","Êtes-vous sûr(e)? Cette commande sera annulée et une nouvelle sera créée à la place.",module,Magento_Sales
"Are you sure you want to accept this payment?","Êtes-vous sûr de vouloir accepter ce paiement ?",module,Magento_Sales
"Are you sure you want to cancel this order?","Êtes-vous sûr(e) de vouloir annuler cette commande ?",module,Magento_Sales
"Are you sure you want to delete all items from shopping cart?","Êtes-vous sûr(e) de vouloir enlever tous les articles du panier ?",module,Magento_Sales
"Are you sure you want to deny this payment?","Êtes-vous sûr(e) de vouloir refuser ce paiement ?",module,Magento_Sales
"Are you sure you want to send a credit memo email to customer?","Êtes-vous sûr de vouloir envoyer l'email de l'avoir au client ?",module,Magento_Sales
"Are you sure you want to send a Credit memo email to customer?","Êtes-vous sûr de vouloir envoyer l'email de l'avoir au client ?",module,Magento_Sales
"Are you sure you want to send an Invoice email to customer?","Êtes-vous sûr de vouloir envoyer l'email de la facture au client ?",module,Magento_Sales
"Are you sure you want to send an invoice email to customer?","Êtes-vous sûr de vouloir envoyer l'email de la facture au client ?",module,Magento_Sales
"Are you sure you want to send an order email to customer?","Êtes-vous sûr de vouloir envoyer l'email de la commande au client ?",module,Magento_Sales
"Are you sure you want to void the payment?","Êtes-vous sûr(e) de vouloir envoyer le rejet de paiement par email au client ?",module,Magento_Sales
"Assignment Information","Information d'affectation",module,Magento_Sales
"Assign Order Status to State","Assigner un statut de commande à un état",module,Magento_Sales
"Assign Status to State","Assigner un statut à un état",module,Magento_Sales
"Asynchronous indexing","Indexation asynchrone",module,Magento_Sales
"Asynchronous sending","Envoi asynchrone",module,Magento_Sales
"At minimum, you need to set a payment ID.","Vous devez au minimum définir un identifiant de paiement.",module,Magento_Sales
"Authorization","Autorisation",module,Magento_Sales
"Authorized amount of %1","Montant de %1 autorisé",module,Magento_Sales
"Back","Retour",module,Magento_Sales
"Backordered","En attente de stock",module,Magento_Sales
"Back to My Orders","Retour à mes commandes",module,Magento_Sales
"Billing","Facturation",module,Magento_Sales
"Billing Address","Adresse de facturation",module,Magento_Sales
"Billing Address: ","Adresse de facturation: ",module,Magento_Sales
"Billing Info","Informations de Facturation",module,Magento_Sales
"Billing Last Name","Nom (fact.)",module,Magento_Sales
"Billing ZIP Code","Code postal (fact.)",module,Magento_Sales
"Bill-to Name","Nom de facturation",module,Magento_Sales
"Buy %1 for price %2","Achetez-en %1 pour le prix de %2",module,Magento_Sales
"Cancel","Annuler",module,Magento_Sales
"Canceled","Annulée",module,Magento_Sales
"Canceled order offline","Commande annulée hors ligne",module,Magento_Sales
"Canceled order online","Commande annulée en ligne",module,Magento_Sales
"Cannot add new comment.","Impossible d'ajouter un commentaire.",module,Magento_Sales
"Cannot create an invoice without products.","Impossible de créer une facture sans produits.",module,Magento_Sales
"Cannot create credit memo for the order.","Impossible de créer un avoir pour la commande.",module,Magento_Sales
"Cannot create online refund for Refund to Store Credit.","Impossible de créer un remboursement en ligne pour un remboursement par crédit.",module,Magento_Sales
"Cannot save comment:
%1","Impossible de sauvegarder le commentaire :
%1",module,Magento_Sales
"Cannot save the credit memo.","Impossible de sauvegarder l'avoir.",module,Magento_Sales
"Cannot save track:
%1","Impossible de sauvegarder le numéro de suivi :
%1",module,Magento_Sales
"Cannot unassign status from state","Impossible de désassigner le statut de l'état",module,Magento_Sales
"Cannot update item quantity.","Impossible de mettre à jour la quantité de l'article.",module,Magento_Sales
"Cannot update the item's quantity.","Impossible de mettre à jour la quantité de l'article.",module,Magento_Sales
"Can't unhold order.","Impossible de débloquer la commande.",module,Magento_Sales
"Capture","Capturer",module,Magento_Sales
"Capture Amount","Capturer le montant",module,Magento_Sales
"Captured amount of %1 online","Capture d'un montant de %1 en ligne",module,Magento_Sales
"Capture Offline","Capturer Hors Ligne",module,Magento_Sales
"Capture Online","Capturer en ligne",module,Magento_Sales
"Cart Price Rule","Règle de prix panier",module,Magento_Sales
"Changing address information will not recalculate shipping, tax or other order amount.","Changer les informations de l'adresse ne recalculera pas les frais de port, les taxes ou les autres montants de la commande.",module,Magento_Sales
"Checkout Totals Sort Order","Ordre de tri des totaux de commande",module,Magento_Sales
