"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée.",module,Magento_SalesRule
"%1 coupon(s) have been generated.","%1 coupon(s) généré(s).",module,Magento_SalesRule
"%1 - Discounts and Coupons","%1 - remises et coupons",module,Magento_SalesRule
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée.",module,Magento_SalesRule
"Actions","Actions",module,Magento_SalesRule
"Active","Actif",module,Magento_SalesRule
"Add New Rule","Ajouter une nouvelle règle",module,Magento_SalesRule
"Alphabetical","Alphabétique",module,Magento_SalesRule
"Alphanumeric","Alphanumérique",module,Magento_SalesRule
"An error occurred while deleting the rule. Please review the log and try again.","Erreur lors de la suppression de la règle. Vérifiez les logs et réessayez.",module,Magento_SalesRule
"An error occurred while saving the rule data. Please review the log and try again.","Erreur lors de la sauvegarde de la règle. Vérifiez les logs et réessayez.",module,Magento_SalesRule
"Apply","Appliquer",module,Magento_SalesRule
"Apply Discount","Appliquer la remise",module,Magento_SalesRule
"Apply Discount Code","Appliquer un code de réduction",module,Magento_SalesRule
"Apply the rule only if the following conditions are met (leave blank for all products).","Appliquer la règle uniquement si les conditions suivantes sont remplies (laisser vide pour tous les produits).",module,Magento_SalesRule
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Appliquer la règle uniquement aux articles du panier qui correspondent aux conditions suivantes (laisser vide pour tous les articles).",module,Magento_SalesRule
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Appliquer la règle uniquement aux articles du panier qui correspondent aux conditions suivantes (laisser vide pour tous les articles).",module,Magento_SalesRule
"Apply To","S'applique à",module,Magento_SalesRule
"Apply to Shipping Amount","Appliquer au montant de la livraison",module,Magento_SalesRule
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?",module,Magento_SalesRule
"Auto","Auto",module,Magento_SalesRule
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement",module,Magento_SalesRule
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)",module,Magento_SalesRule
"By Fixed value","Remise d'une valeur de",module,Magento_SalesRule
"By Percentage","En pourcentage",module,Magento_SalesRule
"Cancel coupon","Annuler le bon de réduction",module,Magento_SalesRule
"Can't acquire coupon.","Impossible d'appliquer le bon.",module,Magento_SalesRule
"Can't acquire coupon.","Impossible d'appliquer le bon.",module,Magento_SalesRule
"Cart Attribute","Attribut de panier",module,Magento_SalesRule
"Cart Item Attribute","Attribut d'article panier",module,Magento_SalesRule
"Cart Price Rule","Règle de prix panier",module,Magento_SalesRule
"Cart Price Rules","Règles de prix panier",module,Magento_SalesRule
"Catalog","Catalogue",module,Magento_SalesRule
"Code Format","Format du code",module,Magento_SalesRule
"Code Length","Longueur du code",module,Magento_SalesRule
"Code Prefix","Préfixe de code",module,Magento_SalesRule
"Code Suffix","Suffixe de code",module,Magento_SalesRule
"Conditions","Conditions",module,Magento_SalesRule
"Conditions Combination","Combinaison de conditions",module,Magento_SalesRule
"Conditions combination","Combinaison de conditions",module,Magento_SalesRule
"Coupon","Bon de réduction",module,Magento_SalesRule
"Coupon Code","Code du bon de réduction",module,Magento_SalesRule
"Coupon Qty","Qté de bons de réduction",module,Magento_SalesRule
"Coupons/Discounts","Coupons/Réductions",module,Magento_SalesRule
"Coupons Information","Informations sur les bons de réduction",module,Magento_SalesRule
"Coupon with the same code","Coupon de réduction avec le même code",module,Magento_SalesRule
"Created","Créé",module,Magento_SalesRule
"CSV","CSV",module,Magento_SalesRule
"Customer Groups","Groupes clients",module,Magento_SalesRule
"Dash Every X Characters","Ajouter un trait tous les X caractères",module,Magento_SalesRule
"Default Label","Libellé par défaut",module,Magento_SalesRule
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin",module,Magento_SalesRule
"Delete","Supprimer",module,Magento_SalesRule
"Description","Description",module,Magento_SalesRule
"Discard subsequent rules","Ignorer les règles suivantes",module,Magento_SalesRule
"Discount (%1)","Remise (%1)",module,Magento_SalesRule
"Discount","Remise",module,Magento_SalesRule
"Discount Amount","Montant de la remise",module,Magento_SalesRule
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)",module,Magento_SalesRule
"Edit Rule '%1'","Modifier la règle '%1'",module,Magento_SalesRule
"Edit Rule","Modifier la règle",module,Magento_SalesRule
"End","Fin",module,Magento_SalesRule
"End on","Fin le",module,Magento_SalesRule
"Enter discount code","Entrez le code de réduction",module,Magento_SalesRule
"equals or greater than","est supérieur(e) ou égal(e) à",module,Magento_SalesRule
"equals or less than","est inférieur(e) ou égal(e) à",module,Magento_SalesRule
"Error occurred when generating coupons: %1","Une erreur s'est produite lors de la génération des coupons : %1",module,Magento_SalesRule
"Error occurred when saving coupon: %1","Une erreur s'est produite lors de l'enregistrement du coupon: %1",module,Magento_SalesRule
"Excel XML","XML Excel",module,Magento_SalesRule
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs.",module,Magento_SalesRule
"Fixed amount discount","Remise d'une valeur fixe",module,Magento_SalesRule
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier",module,Magento_SalesRule
"FOUND","PRÉSENT DANS LE",module,Magento_SalesRule
"From","De",module,Magento_SalesRule
"From Date","Date de début",module,Magento_SalesRule
