"Add Invitee","Ajouter un destinataire"
"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"At least one recipient must be specified.","Au moins un destinataire doit être saisi."
"Back","Retour"
"Cookie (unsafe)","Cookie (non sécurisé)"
"Email:","Email :"
"Email","Email"
"Email Address","Adresse email"
"Email Address:","Adresse email :"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Email Templates","Gabarits d'email"
"Email to a Friend","Envoyer à un ami"
"Enabled","Activé"
"Exception.","Exception."
"Invalid Sender Email","Nom de l'expéditeur invalide"
"Invalid Sender Information","Les informations conçernant l'expéditeur sont invalides"
"Invitee","Invité"
"IP Address","Adresse IP"
"Limit Sending By","Limiter l'envoi par"
"Localized Exception.","Localized Exception."
"Maximum %1 email addresses allowed.","%1 adresses email maximales autorisées."
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Max Recipients","Nombre maxi de destinataires"
"Message","Message"
"Message:","Message :"
"Message from %sender_name:","Message de la part de %sender_name :"
"Name:","Nom :"
"%name,","%name,"
"Name","Nom"
"No Category Exception.","No Category Exception."
"No more than %1 emails can be sent at a time.","Il n'est pas possible d'envoyer plus de %1 emails à la fois."
"No Product Exception.","No Product Exception."
"Page not found.","Page introuvable."
"Please define a correct Cookie instance.","Définissez une instance de cookie correcte."
"Please define a correct Product instance.","Définissez une instance de produit correcte."
"Please define a correct product instance.","Définissez une instance de produit correcte."
"Please define the correct Sender information.","Définissez correctement les informations de l'expéditeur."
"Please define the correct sender information.","Définissez correctement les informations de l'expéditeur."
"Please enter a correct recipient email address.","Veuillez vérifier l'adresse email du destinataire."
"Please enter a message.","Veuillez saisir un message."
"Please enter a sender name.","Veuillez renseigner un nom d'expéditeur."
"Please specify at least one recipient.","Veuillez saisir au moins un destinataire."
"Recipient:","Destinataire :"
"Remove","Supprimer"
"Remove Email","Supprimer email"
"Remove Recipent","Supprimer le destinataire"
"* Required Fields","* Champs requis"
"Select Email Template","Sélectionner le gabarit d'email"
"Send Email","Envoyer un email"
"Sender","Expéditeur"
"Sender:","Expéditeur :"
"%sender_name wants to share this product with you:","%sender_name voudrait partager ce produit avec vous :"
"Some emails were not sent.","Certains emails n'ont pas été envoyés."
"Some error","Une erreur"
"The link to a friend was sent.","Le lien à un ami a été envoyé."
"The message cannot be empty.","Le message ne peut pas être vide."
"The sender name cannot be empty.","Le nom de l'expéditeur ne peut pas être vide."
"We found some problems with the data.","Il y a des erreurs avec les données."
"You can't send messages more than %1 times an hour.","Vous ne pouvez pas envoyer de messages plus de %1 fois par heure."
"You can\'t send messages more than %1 times an hour.","Vous ne pouvez pas envoyer de messages plus de %1 fois par heure."
"You\'ve met your limit of %1 sends in an hour.","Vous avez atteint la limite qui est de %1 envois par heure."
"You've met your limit of %1 sends in an hour.","Vous avez atteint la limite qui est de %1 envois par heure."
