"Add Swatch","Ajouter un échantillon"
"Admin is a required field in the each row","Le champ Admin est obligatoire pour chaque ligne"
"Allowed file types: jpeg, gif, png.","Types de fichiers autorisés : jpeg, gif, png."
"Allows use fallback logic for replacing swatch image with product swatch or base image","Utilisez la logique de fallback pour remplacer l'image de l'échantillon avec celle du produit ou l'image de base"
"Choose a color","Choisir une couleur"
"Create New Value","Créez une nouvelle valeur"
"Delete","Supprimer"
"Deselect All","Tout désélectionner"
"Filtering by this attribute will update the product image on catalog page","Filtrer par cet attribut mettra jour l'image du produit sur la page catalogue"
"Image Opacity","Opacité de l'image"
"Image Position","Position de l'image"
"Image Size","Taille de l'image"
"Is Default","Par défaut"
"Manage Swatch (values of your attribute)","Gérer les échantillons (valeurs de votre attribut)"
"Manage Swatch (Values of Your Attribute)","Gérer les échantillons (valeurs de votre attribut)"
"Options","Options"
"Remove Attribute","Supprimer l'attribut"
"Remove Option","Supprimer l'Option"
"Save Option","Enregistrer l'option"
"Select All","Sélectionner tout"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Sélectionnez les valeurs pour chaque attribut à inclure pour ce produit. Chaque combinaison créera un SKU produit unique."
"Sort Option","Option de Tri"
"Sort Variations","Trier les variations"
"Step 2: Attribute Values","Étape 2 : valeurs des attributs"
"Swatch","Échantillon"
"Swatches per Product","Échantillons par produit"
"Swatch Helper: not valid parameter for product instantiation","Helper Swatch : paramètre invalide pour l'instanciation du produit"
"Swatch Image","Image échantillon"
"Text Swatch","Texte échantillon"
"Update Product Preview Image","Mettre à jour l'image produit"
"Use Product Image for Swatch if Possible","Utilisez l'image du produit pour l'échantillon si possible"
"Visual Swatch","Visuel de l'échantillon"
