"1 column","1 colonne",module,Magento_Theme
"%1 Item","%1 article",module,Magento_Theme
"%1 Item(s)","%1 article(s)",module,Magento_Theme
"2 columns with left bar","2 colonnes avec colonne de gauche",module,Magento_Theme
"2 columns with right bar","2 colonnes avec colonne de droite",module,Magento_Theme
"3 columns","3 colonnes",module,Magento_Theme
"About the calendar","À propos du calendrier",module,Magento_Theme
"Add New Theme","Ajouter un thème",module,Magento_Theme
"Admin 1column","Admin 1 colonne",module,Magento_Theme
"Admin empty","Admin vide",module,Magento_Theme
"Allow Cookies","Autoriser les cookies",module,Magento_Theme
"Allowed file types *.css.","Types de fichiers autorisés : *.css.",module,Magento_Theme
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPEG, APNG, SVG. Attention, certains formats ne sont pas supportés par certains navigateurs !",module,Magento_Theme
"Allowed file types *.js.","Types de fichiers autorisés : *.js.",module,Magento_Theme
"Are you sure you want to delete this file?","Êtes-vous sûr(e) de vouloir supprimer ce fichier ?",module,Magento_Theme
"Are you sure you want to delete this folder?","Êtes-vous sûr(e) de vouloir supprimer ce dossier ?",module,Magento_Theme
"Are you sure you want to delete this theme?","Êtes-vous sûr(e) de vouloir supprimer ce thème ?",module,Magento_Theme
"Browse Files","Parcourir les fichiers",module,Magento_Theme
"Circular-reference in theme inheritance detected for ""%1""","Une référence circulaire dans l'héritage du thème a été détectée pour ""%1""",module,Magento_Theme
"Close","Fermer",module,Magento_Theme
"Close Window","Fermer la Fenêtre",module,Magento_Theme
"&copy; 2015 Magento Demo Store. All Rights Reserved.","© 2015 Magento Demo Store. Tous droits réservés.",module,Magento_Theme
"Copy","Copie",module,Magento_Theme
"Copy of %1","Copie de %1",module,Magento_Theme
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. Tous droits réservés.",module,Magento_Theme
"Copyright","Copyright",module,Magento_Theme
"Create Folder","Créer un dossier",module,Magento_Theme
"CSS Editor","Éditeur CSS",module,Magento_Theme
"Custom CSS","CSS Personnalisé",module,Magento_Theme
"Default Description","Description par défaut",module,Magento_Theme
"Default Keywords","Mots-clés par défaut",module,Magento_Theme
"Default Robots","Robots par défaut",module,Magento_Theme
"Default Title","Titre par défaut",module,Magento_Theme
"Default welcome msg!","Message d'accueil par défaut !",module,Magento_Theme
"Delete File","Supprimer le fichier",module,Magento_Theme
"Delete Folder","Supprimer le dossier",module,Magento_Theme
"Display Demo Store Notice","Afficher le message d'avertissement de boutique de démo",module,Magento_Theme
"Download CSS File","Télécharger un fichier CSS",module,Magento_Theme
"Edit custom.css","Modifier custom.css",module,Magento_Theme
"Edit custom instruction of robots.txt File","Modifier les instructions personnalisées du fichier robots.txt",module,Magento_Theme
"Empty","Vide",module,Magento_Theme
"Enable JavaScript in your browser to get the best experience on our website!","Activez JavaScript dans votre navigateur pour obtenir la meilleure expérience utilisateur sur notre site !",module,Magento_Theme
"Enable Local Storage in your browser to get the best experience on our website!","Activez le local storage dans votre navigateur pour obtenir la meilleure expérience utilisateur sur notre site !",module,Magento_Theme
"Example: 0.0.0.1 or 123.1.0.25-alpha1","Exemple: 0.0.0.1 ou 123.1.0.25-alpha1",module,Magento_Theme
"exception","exception",module,Magento_Theme
"Exception does not contain field '%1'","L'exception ne contient pas le champ ""%1""",module,Magento_Theme
"Favicon Icon","Icône favicon",module,Magento_Theme
"File not found: ""%1"".","Fichier non trouvé : ""%1"".",module,Magento_Theme
"Fonts Assets","Ressources polices",module,Magento_Theme
"Footer","Pied de page",module,Magento_Theme
"For the best experience on our site, be sure to turn on Javascript in your browser.","Pour une meilleure expérience sur notre site, assurez-vous d'activer JavaScript dans votre navigateur.",module,Magento_Theme
