"Active filters:","Filtres actifs :"
"Add New %1","Ajouter %1"
"'Add New ' .","'Ajouter ' ."
"Advanced filter","Filtre avancé"
"All in column","Tout dans la colonne"
"A positive or negative non-decimal number please","Uniquement des nombres entiers positifs ou négatifs autorisés"
"Apply Filters","Appliquer les filtres"
"Assign","Assigner"
"Attention","Attention"
"Bookmark with id ""%1"" does not exist.","La vue avec l'ID ""%1"" n'existe pas."
"Changes have been made to this section that have not been saved.","Des modifications ont été apportées à cette section qui n'a pas été encore sauvegardée."
"Clear all","Tout Supprimer"
"Columns","Colonnes"
"Condition type ""%1"" is not allowed","Le type de condition ""%1"" n'est pas autorisé"
"CSV","CSV"
"Default View","Vue par défaut"
"Deselect All","Tout désélectionner"
"Deselect All on This Page","Désélectionner tout sur cette page"
"Empty Value.","Valeur vide."
"Excel XML","XML Excel"
"Filters","Filtres"
"Go to Details Page","Aller à la page des détails"
"HTML tags are not allowed.","Les balises HTML ne sont pas autorisées."
"If enabled, can be used by functional tests for extended reporting","Si activé, peut être utilisé par les tests fonctionnels pour les rapports étendus"
"Initialization error component, check the spelling of the name or the correctness of the call.","Erreur lors de l'initialisation du composant, vérifier l'orthographe du nom ou l'exactitude de l'appel."
"Invalid format.","Format invalide."
"Keyword","Mot clé"
"Letters, numbers, spaces or underscores only please","Uniquement des lettres, nombres, espaces ou traits de soulignement bas (_) autorisés"
"Letters only please","Uniquement des lettres autorisées"
"Letters or punctuation only please","Uniquement des lettres ou signes de ponctuation autorisés"
"Log JS Errors to Session Storage","Stocker les erreurs JS en Session"
"Log JS Errors to Session Storage Key","Clé de Session pour le stockage des erreurs JS"
"New %1","Nouveau %1"
"'New ' .","'Nouveau ' ."
"New View","Nouvelle vue"
"No white space please","Les espaces ne sont pas autorisés"
"of","sur"
"Off","Off"
"Ok","Ok"
"OK","OK"
"On","On"
"options","Options"
"Please enter {0} words or less.","Veuillez renseigner {0} mots ou moins."
"Please enter 7 or more characters, using both numeric and alphabetic.","Veuillez renseigner 7 caractères ou plus, en utilisant des chiffres et des lettres."
"Please enter a correct date","Veuillez renseigner une date valide"
"Please enter a number 0 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 0 dans ce champ."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter at least {0} characters","Veuillez renseigner au moins {0} caractères"
"Please enter at least {0} words.","Veuillez renseigner au moins {0} mots."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple $100.00."
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address (Ex: johndoe@domain.com).","Veuillez renseigner une adresse email valide (ex : johndoe@domain.com)."
"Please enter a valid fax number (Ex: 123-456-7890).","Veuillez renseigner un numéro de fax valide (ex : 123-456-7890)."
"Please enter a valid IP v4 address.","Veuillez renseigner une adresse IPv4 valide."
"Please enter a valid IP v6 address.","Veuillez renseigner une adresse IPv6 valide."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number (Ex: 123-45-6789).","Veuillez renseigner un numéro de sécurité sociale valide (ex : 1-68-04-10-115-045-97)."
"Please enter a valid time, between 00:00 am and 12:00 pm","Veuillez renseigner une heure valide, entre 00:00 am et 12:00 pm"
"Please enter a valid time, between 00:00 and 23:59","Veuillez renseigner une heure valide, entre 00:00 et 23:59"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Veuillez renseigner une URL valide. Par exemple http://www.exemple.com ou www.exemple.com."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Veuillez renseigner une clé d'URL valide (ex : ""page-exemple"", ""page-exemple.html"" ou ""autre-niveau/page-exemple"")."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Veuillez renseigner une URL valide. Le protocole est obligatoire (http://, https:// ou ftp://)."
"Please enter a valid value, ex: 10,20,30","Saisissez une valeur valide, ex : 10, 20, 30"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Veuillez renseigner un identifiant XML valide (ex : something_1, block5, id-4)."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Veuillez renseigner un code postal valide (ex : 90602 ou 90602-1234)."
"Please enter a value greater than or equal to {0}.","Veuillez saisir une valeur supérieure ou égale à {0}."
"Please enter a value less than or equal to {0}.","Veuillez saisir une valeur inférieure ou égale à {0}."
"Please enter between {0} and {1} words.","Veuillez renseigner entre {0} et {1} mots."
"Please enter issue number or start date for switch/solo card type.","Veuillez saisir le numéro de problème ou une date de début pour le type de carte switch/solo."
"Please enter less or equal than {0} symbols.","Veuillez renseigner un nombre de caractères inférieur ou égal à {0}."
"Please enter more or equal than {0} symbols.","Veuillez renseigner un nombre de caractères supérieur ou égal à {0}."
"Please enter positive number in this field.","Saisissez un nombre positif."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Veuillez renseigner une dimension CSS valide (ex : 100px, 77pt, 20em, .5ex ou 50%)."
"Please select an option.","Sélectionnez une option."
"Please select item(s).","Veuillez sélectionner un élement."
"Please select State/Province.","Veuillez choisir un état/province."
"Please specify a valid mobile number","Veuillez renseigner un numéro de mobile valide"
"Please specify a valid phone number","Veuillez renseigner un numéro de téléphone valide"
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Veuillez n'utiliser uniquement que des lettres minuscules (a-z), des nombres (0-9) ou des underscores (_) dans ce champ. Le 1er caractère doit être une lettre."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Veuillez n'utiliser uniquement que des lettres (a-z ou A-Z), des nombres (0-9) ou des espaces dans ce champ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Veuillez n'utiliser uniquement que des lettres (a-z ou A-Z), des nombres (0-9) ou des underscores (_) dans ce champ. Le 1er caractère doit être une lettre."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Veuillez n'utiliser uniquement que des lettres (a-z ou A-Z), des nombres (0-9), des espaces ou le caractère ""#"" dans ce champ."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","N'utilisez que des lettres (a-z ou A-Z), des nombres (0-9). Aucun espace ou autre caractère n'est autorisé."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 décembre 2012."
"Record contains unsaved changes.","Cet enregistrement contient des modifications non enregistrées."
"Remove %1","Supprimer %1"
"'Remove ' .","'Supprimer ' ."
"Save View As...","Enregistrer la vue sous..."
"Search by keyword","Rechercher par mot clé"
"Select...","Choisir..."
"Select All on This Page","Sélectionner tout"
"Selected","Sélectionné"
"Select Items","Choisir"
"Something went wrong.","Une erreur s'est produite."
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Le paramètre de configuration ""formElement"" est requis pour le champ ""%1""."
"The configuration parameter ""formElement"" is a required for ""' . . '"" field.","Le paramètre de configuration ""formElement"" est requis pour me champ ""' . . '""."
"The specified vehicle identification number (VIN) is invalid.","Le numéro d'identification de véhicule (NIV) fourni est invalide."
"The value is not within the specified range.","La valeur n'est pas dans la plage spécifiée."
"This is a required field.","Ce champ est obligatoire."
"ui/grid/filters/elements/select","ui/grid/filters/elements/select"
"Unsupported bookmark action.","Action de vue non supportée."
"Use this key to retrieve collected js errors","Utilisez cette clé pour retrouver les erreurs js collectées"
"${ $.visible } out of ${ $.total } visible","${ $.visible } sur ${ $.total } visible(s)"
"Vul hier een geldige datum in.","Vul hier een geldige datum in."
"We couldn\","Nous ne pouvons pas"
"You haven\'t selected any items!","Aucun article sélectionné !"
"You have successfully saved your edits.","Sauvegarde effectuée."
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Le code postal doit être compris entre 902xx-xxxx et 905-xx-xxxx"
