"2nd Day Air","2nd Day Air",module,Magento_Ups
"2nd Day Air AM","2nd Day Air AM",module,Magento_Ups
"2nd Day Air AM Letter","2nd Day Air AM Letter",module,Magento_Ups
"2nd Day Air Letter","2nd Day Air Letter",module,Magento_Ups
"3 Day Select","3 Day Select",module,Magento_Ups
"Access License Number","Numéro de permis d'accès",module,Magento_Ups
"Adult Signature Required","La signature d'un adulte est requise",module,Magento_Ups
"Allowed Methods","Modes de livraison autorisés",module,Magento_Ups
"Calculate Handling Fee","Calculer les frais de dossier",module,Magento_Ups
"Canada Standard","Canada standard",module,Magento_Ups
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison",module,Magento_Ups
"Commercial","Commercial",module,Magento_Ups
"Container","Container",module,Magento_Ups
"Customer Packaging","Paquet fait par le client",module,Magento_Ups
"Customer Supplied Package","Emballage fourni par le client",module,Magento_Ups
"Debug","Débogage",module,Magento_Ups
"Delivery Confirmation","Confirmation de livraison",module,Magento_Ups
"Destination Type","Type de destination",module,Magento_Ups
"Displayed Error Message","Message d'erreur affiché",module,Magento_Ups
"Empty response","Réponse vide",module,Magento_Ups
"Enabled for Checkout","Activé pour commander",module,Magento_Ups
"Enable Negotiated Rates","Activer les taux négociés",module,Magento_Ups
"error_message","error_message",module,Magento_Ups
"Free Method","Mode gratuit",module,Magento_Ups
"Free Shipping Amount Threshold","Montant minimum pour la livraison gratuite",module,Magento_Ups
"Gateway URL","URL de la passerelle",module,Magento_Ups
"Gateway XML URL","URL XML de passerelle",module,Magento_Ups
"Ground","Sol",module,Magento_Ups
"Ground Commercial","Raison commerciale",module,Magento_Ups
"Ground Residential","Ground residential",module,Magento_Ups
"Handling Applied","Frais de dossier appliqués",module,Magento_Ups
"Handling Fee","Frais de dossier",module,Magento_Ups
"Kilograms","Kilogrammes",module,Magento_Ups
"label","libellé",module,Magento_Ups
"Large Express Box","Grande Boite Express",module,Magento_Ups
"Live account","Compte Live",module,Magento_Ups
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maxi du paquet (consultez votre transporteur)",module,Magento_Ups
"Medium Express Box","Boite Express Medium",module,Magento_Ups
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Poids minimum du colis (SVP, consultez votre transporteur)",module,Magento_Ups
"Mode","Mode",module,Magento_Ups
"Next Day Air","Next Day Air",module,Magento_Ups
"Next Day Air Early AM","Next Day Air Early AM",module,Magento_Ups
"Next Day Air Early AM Letter","Next Day Air Early AM Letter",module,Magento_Ups
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)",module,Magento_Ups
"Next Day Air Letter","Next Day Air Letter",module,Magento_Ups
"Next Day Air Saver","Next Day Air Saver",module,Magento_Ups
"Next Day Air Saver Letter","Next Day Air Saver Letter",module,Magento_Ups
"None","Aucun",module,Magento_Ups
"Not Required","Non requis",module,Magento_Ups
"Origin of the Shipment","Origine de la livraison",module,Magento_Ups
"Packages Request Type","Type de requête de paquets",module,Magento_Ups
"PAK","PAK",module,Magento_Ups
"Pallet","Palettes",module,Magento_Ups
"Password","Mot de passe",module,Magento_Ups
"Pickup Method","Retrait",module,Magento_Ups
"Pounds","Livres",module,Magento_Ups
"Required for negotiated rates; 6-character UPS","Obligatoire pour les tarifs négociés ; UPS 6 caractères",module,Magento_Ups
"Residential","Domicile",module,Magento_Ups
"Shipper Number","Numéro du livreur",module,Magento_Ups
"Ship to Applicable Countries","Livrer dans les pays applicables",module,Magento_Ups
"Ship to Specific Countries","Livrer dans des pays spécifiques",module,Magento_Ups
"Show Method if Not Applicable","Afficher la méthode si elle n'est pas applicable",module,Magento_Ups
"Signature Required","Signature obligatoire",module,Magento_Ups
"Small Express Box","Boite Express petite",module,Magento_Ups
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Désolé, une erreur s'est produite. Merci d'essayer à nouveau ou contactez-nous pour obtenir de l'aide.",module,Magento_Ups
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Désolé, une erreur s'est produite. Merci d'essayer à nouveau ou contactez-nous pour obtenir de l'aide.",module,Magento_Ups
"Sort Order","Ordre de Tri",module,Magento_Ups
"status","statut",module,Magento_Ups
"This enables or disables SSL verification of the Magento server by UPS.","Active ou désactive la vérification SSL du serveur Magento par UPS.",module,Magento_Ups
"Title","Titre",module,Magento_Ups
"Tracking XML URL","URL XML de suivi",module,Magento_Ups
"United Parcel Service","United Parcel Service",module,Magento_Ups
"United Parcel Service XML","XML UPS",module,Magento_Ups
"UPS","UPS",module,Magento_Ups
"UPS Expedited","UPS Expedited",module,Magento_Ups
"UPS Express","UPS Express",module,Magento_Ups
"UPS Express Box","UPS Express Box",module,Magento_Ups
"UPS Express Early A.M.","UPS Express Early A.M.",module,Magento_Ups
"UPS Express Plus","UPS Express Plus",module,Magento_Ups
"UPS Ground","UPS Ground",module,Magento_Ups
"UPS Letter Envelope","UPS Letter Envelope",module,Magento_Ups
"UPS Next Day Air","UPS Next Day Air",module,Magento_Ups
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M.",module,Magento_Ups
"UPS Next Day Air Saver","UPS Next Day Air Saver",module,Magento_Ups
"UPS Saver","UPS Saver",module,Magento_Ups
"UPS Second Day Air","UPS Second Day Air",module,Magento_Ups
"UPS Second Day Air A.M.","UPS Second Day Air A.M.",module,Magento_Ups
"UPS Standard","UPS Standard",module,Magento_Ups
"UPS Three-Day Select","UPS Three-Day Select",module,Magento_Ups
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier",module,Magento_Ups
"UPS Today Express","UPS Today Express",module,Magento_Ups
"UPS Today Express Saver","UPS Today Express Saver",module,Magento_Ups
"UPS Today Intercity","UPS Today Intercity",module,Magento_Ups
"UPS Today Standard","UPS Today Standard",module,Magento_Ups
"UPS Tube","UPS Tube",module,Magento_Ups
"UPS Type","UPS Type",module,Magento_Ups
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo",module,Magento_Ups
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo",module,Magento_Ups
"UPS Worldwide Expedited","UPS Worldwide Expedited",module,Magento_Ups
"UPS Worldwide Express","UPS Worldwide Express",module,Magento_Ups
"UPS Worldwide Express Plus","UPS Worldwide Express Plus",module,Magento_Ups
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM",module,Magento_Ups
"UPS Worldwide Saver","UPS Worldwide Saver",module,Magento_Ups
"User ID","ID Utilisateur",module,Magento_Ups
"We can't convert a rate from ""%1-%2"".","Nous ne pouvons pas convertir un taux de ""%1-%2"".",module,Magento_Ups
"We can't convert a rate from ""%1-%2"".","Nous ne pouvons pas convertir un taux de ""%1-%2"".",module,Magento_Ups
"Weight Unit","Unité de Poids",module,Magento_Ups
"Worldwide Expedited","Worldwide Expedited",module,Magento_Ups
"Worldwide Express","Worldwide Express",module,Magento_Ups
"Worldwide Express Letter","Worldwide Express Letter",module,Magento_Ups
"Worldwide Express Plus","Worldwide Express Plus",module,Magento_Ups
"Worldwide Express Plus Letter","Worldwide Express Plus Letter",module,Magento_Ups
"Worldwide Express Saver","Worldwide Express Saver",module,Magento_Ups
