"Action","Action",module,Magento_UrlRewrite
"Add New URL Rewrite","Nouvelle réécriture d'URL",module,Magento_UrlRewrite
"Add URL Rewrite","Ajouter une réécriture d'URL",module,Magento_UrlRewrite
"Add URL Rewrite for a Category","Ajoutez une réécriture d'URL pour une catégorie",module,Magento_UrlRewrite
"Add URL Rewrite for a Product","Ajoutez une réécriture d'URL pour un produit",module,Magento_UrlRewrite
"Add URL Rewrite for CMS page","Ajouter une réécriture d'URL pour une page CMS",module,Magento_UrlRewrite
"Anchor symbol (#) is not supported in request path","Le symbole Ancre (""#"") n'est pas supporté dans le chemin de la requête",module,Magento_UrlRewrite
"Anchor symbol (#) is not supported in request path.","Le symbole Ancre (""#"") n'est pas supporté dans le chemin de la requête.",module,Magento_UrlRewrite
"Anchor symbol (#) is not supported in url rewrite suffix.","Le symbole Ancre (""#"") n'est pas supporté dans le suffixe de la réécriture d'URL.",module,Magento_UrlRewrite
"An error occurred while deleting URL Rewrite.","Une erreur est survenue pendant la suppression des réécritures d'URLs.",module,Magento_UrlRewrite
"An error occurred while saving URL Rewrite.","Une erreur est survenue pendant l'enregistrement de la réécriture d'URL.",module,Magento_UrlRewrite
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir faire cela ?",module,Magento_UrlRewrite
"Back","Retour",module,Magento_UrlRewrite
"Block Information","Information du bloc",module,Magento_UrlRewrite
"Category:","Catégorie :",module,Magento_UrlRewrite
"Chosen cms page does not associated with any website.","La page CMS n'est pas associée à un site web.",module,Magento_UrlRewrite
"CMS page:","Page CMS :",module,Magento_UrlRewrite
"Create URL Rewrite:","Créer une réécriture d'URL :",module,Magento_UrlRewrite
"Custom","Personnalisé",module,Magento_UrlRewrite
"Custom storage message","Message système de stockage personnalisé",module,Magento_UrlRewrite
"Delete","Supprimer",module,Magento_UrlRewrite
"Description","Description",module,Magento_UrlRewrite
"Do not use two or more consecutive slashes in the request path.","Ne pas utiliser deux slashes (""/"") ou plus consécutifs dans le chemin de la requête.",module,Magento_UrlRewrite
"Do not use two or more consecutive slashes in the url rewrite suffix.","Ne pas utiliser deux ou plusieurs slashes (""/"") consécutifs dans le suffixe de la réécriture d'URL.",module,Magento_UrlRewrite
"Edit","Modifier",module,Magento_UrlRewrite
"Edit URL Rewrite","Modifier la réécriture d'URL",module,Magento_UrlRewrite
"Edit URL Rewrite for a Category","Modifier une réécriture d'URL pour une catégorie",module,Magento_UrlRewrite
"Edit URL Rewrite for a Product","Modifer une réécriture d'URL pour un produit",module,Magento_UrlRewrite
"Edit URL Rewrite for CMS page","Modifer une réécriture d'URL pour une page CMS",module,Magento_UrlRewrite
"For category","Pour une catégorie",module,Magento_UrlRewrite
"For CMS page","Pour une page CMS",module,Magento_UrlRewrite
"For product","Pour un produit",module,Magento_UrlRewrite
"ID","ID",module,Magento_UrlRewrite
"Name","Nom",module,Magento_UrlRewrite
"[New/Edit] URL Rewrite","[Ajouter/Modifier] Une Réécriture d'URL",module,Magento_UrlRewrite
"No","Non",module,Magento_UrlRewrite
"Options","Options",module,Magento_UrlRewrite
"Permanent (301)","Permanente (301)",module,Magento_UrlRewrite
"Please assign a website to the selected category.","Veuillez spécifier un site web pour la catégorie sélectionnée.",module,Magento_UrlRewrite
"Please assign a website to the selected CMS page.","Veuiller assigner un site web à la page CMS sélectionnée.",module,Magento_UrlRewrite
"Product:","Produit :",module,Magento_UrlRewrite
"Redirect","Rediriger",module,Magento_UrlRewrite
"Redirect Type","Type de redirection",module,Magento_UrlRewrite
"Request Path","Chemin de requête",module,Magento_UrlRewrite
"Request Path for Specified Store","Chemin de requête pour la boutique spécifiée",module,Magento_UrlRewrite
"Reset","Réinitialiser",module,Magento_UrlRewrite
"Save","Enregistrer",module,Magento_UrlRewrite
"Select Category","Sélectionner une catégorie",module,Magento_UrlRewrite
"Skip Category Selection","Passer la sélection de catégorie",module,Magento_UrlRewrite
"SKU","SKU",module,Magento_UrlRewrite
"Something went wrong while saving URL Rewrite.","Une erreur s'est produite lors de l'enregistrement de la réécriture d'URL.",module,Magento_UrlRewrite
"Status","Statut",module,Magento_UrlRewrite
"Store","Boutique",module,Magento_UrlRewrite
"Store View","Vue magasin",module,Magento_UrlRewrite
"Target Path","Chemin cible",module,Magento_UrlRewrite
"Temporary (302)","Temporaire (302)",module,Magento_UrlRewrite
"The category you chose is not associated with the selected store.","La catégorie choisie n'est pas associée à la boutique sélectionnée.",module,Magento_UrlRewrite
"The product you chose is not associated with the selected store or category.","Le produit choisi n'est pas associé à la catégorie ou à la boutique sélectionnée.",module,Magento_UrlRewrite
