"Allowed Methods","Modes de livraison autorisés",module,Magento_Usps
"Calculate Handling Fee","Calculer les frais de dossier",module,Magento_Usps
"Container","Container",module,Magento_Usps
"Debug","Débogage",module,Magento_Usps
"Displayed Error Message","Message d'erreur affiché",module,Magento_Usps
"Documents","Documents",module,Magento_Usps
"Empty response","Réponse vide",module,Magento_Usps
"Enabled for Checkout","Activé pour commander",module,Magento_Usps
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope",module,Magento_Usps
"First-Class Mail International Letter","First-Class Mail International Letter",module,Magento_Usps
"First-Class Mail International Postcard","First-Class Mail International Postcard",module,Magento_Usps
"First-Class Mail Large Envelope","First-Class Mail Large Envelope",module,Magento_Usps
"First-Class Mail Large Postcards","First-Class Mail Large Postcards",module,Magento_Usps
"First-Class Mail Letter","First-Class Mail Letter",module,Magento_Usps
"First-Class Mail Parcel","First-Class Mail Parcel",module,Magento_Usps
"First-Class Mail Postcards","First-Class Mail Postcards",module,Magento_Usps
"First-Class Package International Service","First-Class Package International Service",module,Magento_Usps
"First-Class Package Service","First-Class Package Service",module,Magento_Usps
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup",module,Magento_Usps
"Flat","Plat",module,Magento_Usps
"Flat-Rate Box","Boîte taux fixe",module,Magento_Usps
"Flat-Rate Envelope","Enveloppe taux fixe",module,Magento_Usps
"For some reason we can't retrieve tracking info right now.","Impossible de retrouver les informations de suivi.",module,Magento_Usps
"Free Method","Mode gratuit",module,Magento_Usps
"Free Shipping Amount Threshold","Montant minimum pour la livraison gratuite",module,Magento_Usps
"Gateway URL","URL de la passerelle",module,Magento_Usps
"Gift","Cadeau",module,Magento_Usps
"Girth","Circonférence",module,Magento_Usps
"Global Express Guaranteed Document","Global Express Guaranteed Document",module,Magento_Usps
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)",module,Magento_Usps
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed non-Document non-Rectangular",module,Magento_Usps
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed non-Document rectangular",module,Magento_Usps
"Handling Applied","Frais de dossier appliqués",module,Magento_Usps
"Handling Fee","Frais de dossier",module,Magento_Usps
"Height","Hauteur",module,Magento_Usps
"Large","Grand",module,Magento_Usps
"Length","Longueur",module,Magento_Usps
"Letter","Lettre",module,Magento_Usps
"Library Mail","Library Mail",module,Magento_Usps
"Machinable","Usinable",module,Magento_Usps
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maxi du paquet (consultez votre transporteur)",module,Magento_Usps
"Media Mail","Courrier média",module,Magento_Usps
"Merchandise","Marchandise",module,Magento_Usps
"Mode","Mode",module,Magento_Usps
"No","Non",module,Magento_Usps
"None","Aucun",module,Magento_Usps
"Non-rectangular","Non rectangulaire",module,Magento_Usps
"Not Required","Non requis",module,Magento_Usps
"Other","Autre",module,Magento_Usps
"Packages Request Type","Type de requête de paquets",module,Magento_Usps
"Parcel","Colis",module,Magento_Usps
"Password","Mot de passe",module,Magento_Usps
"Priority Mail","Courrier prioritaire",module,Magento_Usps
"Priority Mail Express","Courrier prioritaire express",module,Magento_Usps
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup",module,Magento_Usps
"Priority Mail Express International","Priority Mail Express International",module,Magento_Usps
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope",module,Magento_Usps
