"All","Tous"
"API","API"
"Authentication header format is invalid.","Le format d'en-tête d'authentification est invalide."
"Authentication header is absent.","L'en-tête d'authentification est manquant."
"Available APIs","APIs Disponibles"
"Cannot perform GET operation with store code \'all\'","Impossible d'effectuer l'opération GET avec le code boutique 'all'"
"Content-Type header is empty.","Content-Type de l'entête vide."
"Content-Type header is invalid.","Content-Type de l'entête invalide."
"Create Customer","Créer un client"
"Custom","Personnalisé"
"Decoding error: %1%2%3%4","Décodage de l'erreur: %1%2%3%4"
"Decoding error.","Décodage de l'erreur."
"Default Response Charset","Charset de réponse par défaut"
"Delete Customer","Supprimer le client"
"Edit Customer","Editer le client"
"Enable WSDL Cache","Activer le cache WSDL"
"If empty, UTF-8 will be used.","Si vide, l'UTF-8 sera utilisé."
"Incorrect format of WSDL request URI or Requested services are missing.","Format WSDL incorrect, URI ou service manquants."
"Integrations API Configuration","Configuration API intégrations"
"Integrations API configuration file.","Intégrations API du fichier de configuration."
"Internal Error. Details are available in Magento log file. Report ID: %1","Erreur interne. Détails disponibles dans les fichiers log Magento. ID rapport: %1"
"Invalid XML","XML invalide"
"Invalid XML: Detected use of illegal DOCTYPE","XML invalide : détection d'une utilisation illégale de DOCTYPE"
"Magento is not yet installed","Magento n'est pas installé"
"Magento Web API","API web Magento"
"Manage Customers","Gérer les clients"
"Message","Message"
"message","message"
"No permissions requested","Aucune autorisation demandée"
"Not allowed parameters: %1. Please use only %2 and %3.","Paramètres non autorisés : %1. Veuillez utiliser uniquement %2 et %3."
"Operation ""%1"" not found.","L'opération ""%1"" est introuvable."
"Operation allowed only in HTTPS","Opération autorisée uniquement en HTTPS"
"Request does not match any route.","La requête ne correspond à aucune route."
"Requested service is not available: ""%1""","Le service demandé n'est pas disponible : ""%1"""
"Request method is invalid.","Méthode de requête invalide."
"Resource Access","Accès aux ressources"
"Resources","Ressources"
"REST and SOAP configurations, generated WSDL file","Configurations REST et SOAP, fichier WSDL généré."
"REST and SOAP configurations, generated WSDL file.","Configurations REST et SOAP, fichier WSDL généré."
"Server cannot match any of the given Accept HTTP header media type(s) from the request: %1 with media types from the config of response renderer.""","Le serveur ne peut trouver un Accept HTTP header media type(s) pour la requête : %1 avec un type de média provenant de la configuration renderer"
"Server internal error. See details in report api/%1","Erreur serveur interne. Voir les détails dans le rapport api/%1"
"SOAP extension is not loaded.","L'extension SOAP n'est pas chargée."
"SOAP Settings","Paramètres SOAP"
"UTF-8 is the only supported charset.","Seul UTF-8 est supporté."
"Web Services Configuration","Configuration des webservices"
