"Action","Action",module,Magento_Weee
"Add Tax","Ajouter une taxe",module,Magento_Weee
"All Websites","Tous les sites web",module,Magento_Weee
"Apply Tax To FPT","Appliquer la taxe au TFP",module,Magento_Weee
"Country/State","Pays / État",module,Magento_Weee
"Delete Tax","Supprimer la taxe",module,Magento_Weee
"Display Prices In Emails","Afficher les prix dans les emails",module,Magento_Weee
"Display Prices In Product Lists","Afficher les prix dans la liste des produits",module,Magento_Weee
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement",module,Magento_Weee
"Display Prices On Product View Page","Afficher les prix dans les fiches produits",module,Magento_Weee
"Enable FPT","Activer les TFP",module,Magento_Weee
"Excl. Tax","HT",module,Magento_Weee
"Excluding FPT","Hors TFP",module,Magento_Weee
"Excluding FPT. Including FPT description and final price","TFP incluse dans Description et prix final",module,Magento_Weee
"Final Price","Prix final",module,Magento_Weee
"Fixed Product Tax","Taxe fixe de produit",module,Magento_Weee
"Fixed Product Taxes","Taxes fixes de produit",module,Magento_Weee
"FPT","TFP",module,Magento_Weee
"frontend_label","frontend_label",module,Magento_Weee
"Incl. Tax","TTC",module,Magento_Weee
"Include FPT In Subtotal","Inclure TFP dans le sous-total",module,Magento_Weee
"Including FPT and FPT description","TFP incluses et description des TFP",module,Magento_Weee
"Including FPT only","FPT incluses uniquement",module,Magento_Weee
"label_value","label_value",module,Magento_Weee
"Tax","Taxe",module,Magento_Weee
"Total","Total",module,Magento_Weee
"Total Incl. Tax","Total TTC",module,Magento_Weee
"Website","Site web",module,Magento_Weee
"We found a duplicate of website, country and state fields for a fixed product tax","Doublon site web, pays et état pour une taxe fixe de produit",module,Magento_Weee
